ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	process_id
68	131	data/BGE00174_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	656	1530	Dolichopodidae,Hybotidae,Drosophilidae,Ulidiidae	BGENL476-23_r_1_s_50	Sciapus nervosus	0	BGENL476-23
67	99	data/BGE00174_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	654	1509	Kalotermitidae,Tettigoniidae,Ninidae,Elmidae,Empididae,Dolichopodidae,Ulidiidae,Vespidae	BGENL476-23_r_1_s_100	Sciapus nervosus	0	BGENL476-23
27	46	data/BGE00174_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	656	1524	Therevidae,Dolichopodidae,Hybotidae	BGENL476-23_r_1.3_s_50	Sciapus nervosus	0	BGENL476-23
16	27	data/BGE00174_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	656	1458	Bombyliidae,Dolichopodidae,Hybotidae,Phoridae,Tephritidae,Ulidiidae	BGENL476-23_r_1.3_s_100	Sciapus nervosus	0	BGENL476-23
13	17	data/BGE00174_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	656	1524	Therevidae,Dolichopodidae,Hybotidae	BGENL476-23_r_1.5_s_50	Sciapus nervosus	0	BGENL476-23
8	28	data/BGE00174_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	656	1428	Dolichopodidae,Hybotidae,Tephritidae	BGENL476-23_r_1.5_s_100	Sciapus nervosus	0	BGENL476-23
30	53	data/BGE00174_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	611	1407	Tetrigidae,Acrididae,Reduviidae	BGENL477-23_r_1_s_50	Sciapus nervosus	0	BGENL477-23
29	39	data/BGE00174_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	605	1335	Tettigoniidae,Acrididae,Reduviidae,Ulidiidae,Vespidae	BGENL477-23_r_1_s_100	Sciapus nervosus	0	BGENL477-23
8	23	data/BGE00174_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	512	1218	Tettigoniidae,Acrididae,Staphylinidae,Syrphidae,Tephritidae,Vespidae	BGENL477-23_r_1.3_s_50	Sciapus nervosus	0	BGENL477-23
8	8	data/BGE00174_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	255	840	Tettigoniidae,Acrididae,Reduviidae,Staphylinidae,Syrphidae,Tephritidae,Vespidae,Corydalidae	BGENL477-23_r_1.3_s_100	Sciapus nervosus	0	BGENL477-23
