ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	process_id
7	54	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Nepticulidae	BLAST	family	657	1530	Limacodidae,Crambidae,Nepticulidae	BGSNL1815-24_r_1_s_50	Stigmella filipendulae	0	BGSNL1815-24
7	66	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Nepticulidae	BLAST	family	657	1530	Crambidae,Geometridae,Nepticulidae	BGSNL1815-24_r_1_s_100	Stigmella filipendulae	1	BGSNL1815-24
8	30	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Nepticulidae	BLAST	family	657	1524	Hepialidae,Tortricidae,Noctuidae,Pyralidae,Crambidae,Geometridae	BGSNL1815-24_r_1.3_s_50	Stigmella filipendulae	0	BGSNL1815-24
7	29	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Nepticulidae	BLAST	family	657	1524	Hepialidae,Tortricidae,Noctuidae,Pyralidae,Crambidae,Geometridae	BGSNL1815-24_r_1.3_s_100	Stigmella filipendulae	1	BGSNL1815-24
2	13	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Nepticulidae	BLAST	family	640	1494	Syrphidae,Nepticulidae	BGSNL1815-24_r_1.5_s_50	Stigmella filipendulae	1	BGSNL1815-24
2	14	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Nepticulidae	BLAST	family	640	1494	Syrphidae,Nepticulidae	BGSNL1815-24_r_1.5_s_100	Stigmella filipendulae	1	BGSNL1815-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae	BGSNL1831-24_r_1_s_50	Minetia labiosella	0	BGSNL1831-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae	BGSNL1831-24_r_1_s_100	Minetia labiosella	0	BGSNL1831-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae	BGSNL1831-24_r_1.3_s_50	Minetia labiosella	0	BGSNL1831-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae	BGSNL1831-24_r_1.3_s_100	Minetia labiosella	0	BGSNL1831-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae	BGSNL1831-24_r_1.5_s_50	Minetia labiosella	0	BGSNL1831-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae	BGSNL1831-24_r_1.5_s_100	Minetia labiosella	0	BGSNL1831-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae,Geometridae	BGSNL1832-24_r_1_s_50	Minetia labiosella	0	BGSNL1832-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Notodontidae,Erebidae,Crambidae	BGSNL1832-24_r_1_s_100	Minetia labiosella	0	BGSNL1832-24
1	1	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	656	1530	Sphingidae,Erebidae,Crambidae,Geometridae	BGSNL1832-24_r_1.3_s_50	Minetia labiosella	0	BGSNL1832-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Notodontidae,Erebidae,Crambidae	BGSNL1832-24_r_1.3_s_100	Minetia labiosella	0	BGSNL1832-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae	BGSNL1832-24_r_1.5_s_50	Minetia labiosella	0	BGSNL1832-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Notodontidae,Erebidae,Crambidae	BGSNL1832-24_r_1.5_s_100	Minetia labiosella	0	BGSNL1832-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae,Geometridae	BGSNL1833-24_r_1_s_50	Minetia labiosella	0	BGSNL1833-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae	BGSNL1833-24_r_1_s_100	Minetia labiosella	0	BGSNL1833-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae	BGSNL1833-24_r_1.3_s_50	Minetia labiosella	0	BGSNL1833-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae	BGSNL1833-24_r_1.3_s_100	Minetia labiosella	0	BGSNL1833-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae	BGSNL1833-24_r_1.5_s_50	Minetia labiosella	0	BGSNL1833-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Sphingidae,Erebidae,Crambidae	BGSNL1833-24_r_1.5_s_100	Minetia labiosella	0	BGSNL1833-24
1	1	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Depressariidae,Sphingidae,Noctuidae,Erebidae,Pyralidae,Geometridae	BGSNL1837-24_r_1_s_50	Pleurota cyrniella	0	BGSNL1837-24
1	1	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Depressariidae,Sphingidae,Noctuidae,Erebidae,Pyralidae,Geometridae	BGSNL1837-24_r_1_s_100	Pleurota cyrniella	0	BGSNL1837-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Depressariidae,Sphingidae,Noctuidae,Erebidae,Pyralidae,Geometridae	BGSNL1837-24_r_1.3_s_50	Pleurota cyrniella	0	BGSNL1837-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Depressariidae,Sphingidae,Noctuidae,Erebidae,Pyralidae,Geometridae	BGSNL1837-24_r_1.3_s_100	Pleurota cyrniella	0	BGSNL1837-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Depressariidae,Sphingidae,Noctuidae,Erebidae,Pyralidae,Geometridae	BGSNL1837-24_r_1.5_s_50	Pleurota cyrniella	0	BGSNL1837-24
0	0	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Depressariidae,Sphingidae,Noctuidae,Erebidae,Pyralidae,Geometridae	BGSNL1837-24_r_1.5_s_100	Pleurota cyrniella	0	BGSNL1837-24
0	2	data/BGE00312_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Oecophoridae	BLAST	family	657	1530	Depressariidae,Sphingidae,Noctuidae,Erebidae,Geometridae	BGSNL1838-24_r_1_s_50	Pleurota cyrniella	0	BGSNL1838-24
