ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	process_id
4	9	data/BGE00146_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1530	Noctuidae	BHNHM007-24_r_1_s_50	Agrochola rupicapra	0	BHNHM007-24
1	1	data/BGE00146_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1530	Noctuidae	BHNHM007-24_r_1_s_100	Agrochola rupicapra	0	BHNHM007-24
1	1	data/BGE00146_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1530	Noctuidae	BHNHM007-24_r_1.3_s_50	Agrochola rupicapra	0	BHNHM007-24
1	1	data/BGE00146_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1530	Noctuidae	BHNHM007-24_r_1.3_s_100	Agrochola rupicapra	0	BHNHM007-24
1	1	data/BGE00146_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1530	Noctuidae	BHNHM007-24_r_1.5_s_50	Agrochola rupicapra	0	BHNHM007-24
1	1	data/BGE00146_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1530	Noctuidae	BHNHM007-24_r_1.5_s_100	Agrochola rupicapra	0	BHNHM007-24
9	53	data/BGE00146_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	642	1530	Sphingidae,Endromidae,Geometridae	BHNHM012-24_r_1_s_50	Oncocnemis nigricula	0	BHNHM012-24
8	39	data/BGE00146_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	642	1530	Noctuidae	BHNHM012-24_r_1_s_100	Oncocnemis nigricula	0	BHNHM012-24
4	23	data/BGE00146_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	642	1530	Noctuidae	BHNHM012-24_r_1.3_s_50	Oncocnemis nigricula	0	BHNHM012-24
3	13	data/BGE00146_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	642	1530	Noctuidae	BHNHM012-24_r_1.3_s_100	Oncocnemis nigricula	0	BHNHM012-24
