ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	process_id
29	83	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Coleophoridae	BLAST	family	656	1530	Cosmopterigidae,Limacodidae,Sphingidae,Erebidae,Nymphalidae,Geometridae	BGSNL1724-24_r_1_s_50	Coleophora fuscicornis	0	BGSNL1724-24
27	82	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Coleophoridae	BLAST	family	656	1530	Coleophoridae,Plutellidae,Erebidae	BGSNL1724-24_r_1_s_100	Coleophora fuscicornis	0	BGSNL1724-24
15	27	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Coleophoridae	BLAST	family	657	1530	Oecophoridae,Coleophoridae,Depressariidae,Noctuidae,Geometridae	BGSNL1724-24_r_1.3_s_50	Coleophora fuscicornis	0	BGSNL1724-24
11	23	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Coleophoridae	BLAST	family	656	1530	Oecophoridae,Coleophoridae,Depressariidae,Noctuidae,Geometridae	BGSNL1724-24_r_1.3_s_100	Coleophora fuscicornis	0	BGSNL1724-24
12	15	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Coleophoridae	BLAST	family	657	1530	Oecophoridae,Coleophoridae,Autostichidae,Depressariidae,Noctuidae,Geometridae	BGSNL1724-24_r_1.5_s_50	Coleophora fuscicornis	0	BGSNL1724-24
8	11	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Coleophoridae	BLAST	family	657	1530	Coleophoridae,Autostichidae,Depressariidae,Noctuidae,Geometridae	BGSNL1724-24_r_1.5_s_100	Coleophora fuscicornis	0	BGSNL1724-24
12	43	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Gracillariidae	BLAST	family	656	1536	Erebidae,Nymphalidae,Crambidae,Geometridae	BGSNL1768-24_r_1_s_50	Parornix incerta	0	BGSNL1768-24
3	29	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Gracillariidae	BLAST	family	657	1530	Nymphalidae,Crambidae,Geometridae	BGSNL1768-24_r_1_s_100	Parornix incerta	0	BGSNL1768-24
0	4	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Gracillariidae	BLAST	family	657	1536	Depressariidae,Noctuidae,Erebidae,Crambidae,Hyblaeidae	BGSNL1768-24_r_1.3_s_50	Parornix incerta	0	BGSNL1768-24
2	2	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Gracillariidae	BLAST	family	657	1530	Depressariidae,Noctuidae,Crambidae,Hyblaeidae	BGSNL1768-24_r_1.3_s_100	Parornix incerta	0	BGSNL1768-24
0	1	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Gracillariidae	BLAST	family	612	1428	Plutellidae,Noctuidae,Pyralidae,Crambidae,Geometridae	BGSNL1768-24_r_1.5_s_50	Parornix incerta	0	BGSNL1768-24
2	5	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Gracillariidae	BLAST	family	603	1365	Plutellidae,Noctuidae,Pyralidae,Crambidae,Geometridae	BGSNL1768-24_r_1.5_s_100	Parornix incerta	0	BGSNL1768-24
None	0	data/BGE00311_MGE-BGE_r1_1.3_1.5_s50_100.fasta	Local BLAST failed for sequence ''	Gracillariidae	BLAST	family	None	0		BGSNL1785-24_r_1_s_50	Phyllonorycter saportella	0	BGSNL1785-24
