Process ID,n_aligned,n_reads,cov_min,cov_max,cov_avg,skipped_reads_low_rel_score,length
BGENL001-23,7191,23494514,0.0,809.0,526.6555772994129,362,1533
BGENL002-23,220,672618,2.0,28.0,13.454011741682974,7,1533
BGENL003-23,5325,30824217,0.0,685.0,374.9178082191781,236,1533
BGENL004-23,35004,3763272,0.0,3506.0,2522.483365949119,116,1533
BGENL005-23,47,228144,0.0,10.0,3.295499021526419,0,1533
BGENL006-23,14365,8854925,1.0,1683.0,906.0410958904109,116,1533
BGENL007-23,17752,15398419,0.0,1916.0,1282.812133072407,289,1533
BGENL008-23,3927,8073163,1.0,415.0,272.4481409001957,49,1533
BGENL009-23,45,313984,0.0,8.0,3.01174168297456,0,1533
BGENL010-23,881,1723753,10.0,110.0,49.50880626223092,8,1533
BGENL011-23,1646,4828538,9.0,204.0,91.91585127201566,16,1533
BGENL012-23,69,553969,0.0,12.0,4.5655577299412915,11,1533
BGENL013-23,378,804124,0.0,56.0,22.53696498054475,7,1542
BGENL014-23,86,822011,0.0,11.0,5.455252918287938,11,1542
BGENL015-23,91,657613,0.0,14.0,4.828793774319066,11,1542
BGENL016-23,108,1023959,0.0,15.0,7.71011673151751,8,1542
BGENL017-23,357,2131679,0.0,48.0,18.72762645914397,17,1542
BGENL018-23,891,2411736,0.0,124.0,45.71400778210117,16,1542
BGENL019-23,14157,57097576,0.0,1298.0,751.9745596868885,61,1533
BGENL020-23,183,13373079,0.0,22.0,10.318982387475538,4,1533
BGENL021-23,133,11114861,0.0,20.0,8.669275929549903,19,1533
BGENL022-23,31180,31976221,671.0,3235.0,2017.66927592955,342,1533
BGENL023-23,325,15941243,0.0,122.0,18.921722113502934,58,1533
BGENL024-23,11044,7652044,261.0,1058.0,689.5792563600783,13,1533
BGENL025-23,59,357975,0.0,16.0,4.219178082191781,8,1533
BGENL026-23,3981,54550141,72.0,344.0,234.81800391389433,0,1533
BGENL027-23,85,375654,0.0,17.0,5.851272015655577,6,1533
BGENL028-23,1525,11478429,24.0,175.0,88.65753424657534,3,1533
BGENL029-23,1360,2442272,32.0,164.0,88.78277886497065,2,1533
BGENL030-23,3463,10431636,68.0,395.0,214.70058708414874,5,1533
BGENL031-23,1118,12560954,29.0,121.0,73.17808219178082,5,1533
BGENL032-23,158,3160201,0.0,24.0,10.688845401174168,4,1533
BGENL033-23,1330,26175122,16.0,219.0,80.36986301369863,14,1533
BGENL034-23,6097,4721755,1.0,666.0,352.35420743639924,16,1533
BGENL035-23,134,4770637,0.0,24.0,7.956947162426615,9,1533
