consensus sequence output,Number of input sequences considered,sequence found in vulgar file,number of aligned reads,# skipped reads due to low rel. score,Length of alignment,Coverage minimum,Coverage maximum,Coverage mean,Coverage median,total_length,num_n,num_gaps
BGENL001-23_r_1_s_100,             23494514,  7608,              7191,               362,                              1533,                                 0,                                 809,                                    526.62,                                  592.00,1533,0,57
BGENL001-23_r_1_s_50,             23494514,  12352,              10208,               1029,                              1533,                                 2,                                 941,                                    634.64,                                  696.00,1533,7,6
BGENL001-23_r_1.3_s_100,             23494514,  7608,              5734,               1819,                              1533,                                 0,                                 802,                                    410.62,                                  485.00,1533,0,108
BGENL001-23_r_1.3_s_50,             23494514,  12352,              7556,               3681,                              1533,                                 0,                                 915,                                    470.25,                                  592.00,1533,7,36
BGENL001-23_r_1.5_s_100,             23494514,  7608,              3479,               4074,                              1533,                                 0,                                 697,                                    236.41,                                  159.00,1533,0,327
BGENL001-23_r_1.5_s_50,             23494514,  12352,              4525,               6716,                              1533,                                 0,                                 727,                                    267.71,                                  202.00,1533,2,168
BGENL002-23_r_1_s_100,             672618,  229,              220,               7,                              1533,                                 2,                                 28,                                    13.45,                                  13.00,1533,43,0
BGENL002-23_r_1_s_50,             672618,  345,              308,               15,                              1533,                                 2,                                 30,                                    16.41,                                  17.00,1533,29,0
BGENL002-23_r_1.3_s_100,             672618,  229,              203,               24,                              1533,                                 0,                                 26,                                    11.98,                                  12.00,1533,19,30
BGENL002-23_r_1.3_s_50,             672618,  345,              273,               52,                              1533,                                 0,                                 28,                                    14.23,                                  14.00,1533,15,30
BGENL002-23_r_1.5_s_100,             672618,  229,              162,               66,                              1533,                                 0,                                 22,                                    9.31,                                  10.00,1533,5,150
BGENL002-23_r_1.5_s_50,             672618,  345,              209,               117,                              1533,                                 0,                                 25,                                    10.73,                                  12.00,1533,4,150
BGENL003-23_r_1_s_100,             30824217,  5620,              5325,               236,                              1533,                                 0,                                 685,                                    374.90,                                  395.00,1533,0,51
BGENL003-23_r_1_s_50,             30824217,  11422,              8006,               1124,                              1533,                                 0,                                 771,                                    469.85,                                  497.00,1533,9,15
BGENL003-23_r_1.3_s_100,             30824217,  5620,              4286,               1275,                              1533,                                 0,                                 650,                                    295.25,                                  317.00,1533,0,60
BGENL003-23_r_1.3_s_50,             30824217,  11422,              5848,               3286,                              1533,                                 0,                                 701,                                    346.75,                                  382.00,1533,7,45
BGENL003-23_r_1.5_s_100,             30824217,  5620,              2819,               2742,                              1533,                                 0,                                 643,                                    186.87,                                  150.00,1533,0,222
BGENL003-23_r_1.5_s_50,             30824217,  11422,              3757,               5380,                              1533,                                 0,                                 664,                                    215.59,                                  175.00,1533,0,156
BGENL004-23_r_1_s_100,             3763272,  35277,              35004,               116,                              1533,                                 0,                                 3506,                                    2522.31,                                  2642.00,1533,0,3
BGENL004-23_r_1_s_50,             3763272,  44051,              42889,               748,                              1533,                                 4,                                 3855,                                    2815.42,                                  2894.00,1533,3,0
BGENL004-23_r_1.3_s_100,             3763272,  35277,              30516,               4604,                              1533,                                 0,                                 3496,                                    2173.91,                                  2452.00,1533,5,3
BGENL004-23_r_1.3_s_50,             3763272,  44051,              36456,               7218,                              1533,                                 4,                                 3789,                                    2377.31,                                  2638.00,1533,8,0
BGENL004-23_r_1.5_s_100,             3763272,  35277,              19887,               15235,                              1533,                                 0,                                 3473,                                    1375.85,                                  1371.00,1533,0,171
BGENL004-23_r_1.5_s_50,             3763272,  44051,              23528,               20162,                              1533,                                 0,                                 3553,                                    1491.59,                                  1506.00,1533,0,126
BGENL005-23_r_1_s_100,             228144,  48,              47,               0,                              1533,                                 0,                                 10,                                    3.30,                                  2.00,1533,59,546
BGENL005-23_r_1_s_50,             228144,  101,              69,               14,                              1533,                                 0,                                 12,                                    4.11,                                  4.00,1533,85,345
BGENL005-23_r_1.3_s_100,             228144,  48,              36,               11,                              1533,                                 0,                                 10,                                    2.41,                                  2.00,1533,25,666
BGENL005-23_r_1.3_s_50,             228144,  101,              48,               35,                              1533,                                 0,                                 12,                                    2.83,                                  2.00,1533,24,483
BGENL005-23_r_1.5_s_100,             228144,  48,              29,               18,                              1533,                                 0,                                 10,                                    1.94,                                  0.00,1533,25,909
BGENL005-23_r_1.5_s_50,             228144,  101,              33,               50,                              1533,                                 0,                                 12,                                    2.07,                                  0.00,1533,16,909
BGENL006-23_r_1_s_100,             8854925,  14535,              14365,               116,                              1533,                                 1,                                 1683,                                    905.98,                                  884.00,1533,0,0
BGENL006-23_r_1_s_50,             8854925,  24566,              23437,               766,                              1533,                                 3,                                 1930,                                    1223.58,                                  1202.00,1533,0,0
BGENL006-23_r_1.3_s_100,             8854925,  14535,              13019,               1462,                              1533,                                 0,                                 1675,                                    808.26,                                  836.00,1533,0,24
BGENL006-23_r_1.3_s_50,             8854925,  24566,              20270,               3951,                              1533,                                 0,                                 1916,                                    1048.17,                                  1092.00,1533,0,12
BGENL006-23_r_1.5_s_100,             8854925,  14535,              9037,               5445,                              1533,                                 0,                                 1627,                                    547.03,                                  488.00,1533,0,150
BGENL006-23_r_1.5_s_50,             8854925,  24566,              13276,               10971,                              1533,                                 0,                                 1832,                                    678.00,                                  643.00,1533,0,48
BGENL007-23_r_1_s_100,             15398419,  18111,              17752,               289,                              1533,                                 0,                                 1916,                                    1282.71,                                  1324.00,1533,0,3
BGENL007-23_r_1_s_50,             15398419,  25340,              22584,               878,                              1533,                                 0,                                 2103,                                    1421.34,                                  1497.00,1533,0,3
BGENL007-23_r_1.3_s_100,             15398419,  18111,              15747,               2294,                              1533,                                 0,                                 1911,                                    1128.16,                                  1188.00,1533,11,3
BGENL007-23_r_1.3_s_50,             15398419,  25340,              19323,               5035,                              1533,                                 0,                                 2088,                                    1249.16,                                  1320.00,1533,4,3
BGENL007-23_r_1.5_s_100,             15398419,  18111,              11120,               6921,                              1533,                                 0,                                 1788,                                    777.60,                                  589.00,1533,0,180
BGENL007-23_r_1.5_s_50,             15398419,  25340,              13404,               10958,                              1533,                                 0,                                 1879,                                    849.88,                                  746.00,1533,0,66
