Process ID,n_reads,n_aligned,cov_min,cov_max,cov_avg,skipped_reads_low_rel_score,length
BGENL001-23,1744,11831570,0.0,370.0,125.43444227005871,2128,1533
BGENL002-23,84,332112,0.0,12.0,4.986301369863014,34,1533
BGENL003-23,1433,15623546,0.0,334.0,98.5068493150685,1413,1533
BGENL004-23,10803,1933902,0.0,1992.0,794.9236790606653,8376,1533
BGENL005-23,16,112545,0.0,5.0,1.1174168297455969,13,1533
BGENL006-23,4672,4451726,0.0,854.0,287.9843444227006,2842,1533
BGENL007-23,5625,7697421,0.0,985.0,419.9941291585127,3581,1533
BGENL008-23,1267,4076653,0.0,220.0,88.88454011741683,774,1533
BGENL009-23,13,155154,0.0,4.0,0.7847358121330724,9,1533
BGENL010-23,374,909291,0.0,56.0,21.516634050880626,118,1533
BGENL011-23,715,2460352,0.0,118.0,38.863013698630134,213,1533
BGENL012-23,18,277921,0.0,4.0,1.101761252446184,29,1533
BGENL013-23,202,399481,0.0,27.0,12.476653696498055,11,1542
BGENL014-23,28,394078,0.0,4.0,1.6770428015564203,18,1542
BGENL015-23,39,321738,0.0,7.0,1.9844357976653697,12,1542
BGENL016-23,28,501025,0.0,7.0,1.698443579766537,30,1542
BGENL017-23,169,1056050,0.0,25.0,8.581712062256809,22,1542
BGENL018-23,427,1192549,0.0,64.0,21.72762645914397,43,1542
BGENL019-23,6417,28526282,0.0,664.0,333.3522504892368,928,1533
BGENL020-23,77,6737853,0.0,10.0,4.170254403131115,18,1533
BGENL021-23,52,5439432,0.0,8.0,3.379647749510763,26,1533
BGENL022-23,15403,17617181,428.0,1725.0,1029.1545988258317,2506,1533
BGENL023-23,79,7463725,0.0,37.0,4.02348336594912,120,1533
BGENL024-23,5364,3845514,146.0,552.0,344.9765166340509,352,1533
BGENL025-23,19,174425,0.0,6.0,1.4696673189823874,15,1533
BGENL026-23,1779,27937368,23.0,178.0,106.03131115459882,285,1533
BGENL027-23,29,190032,0.0,12.0,1.904109589041096,21,1533
BGENL028-23,720,5869998,8.0,93.0,42.62230919765166,61,1533
BGENL029-23,542,1223881,0.0,74.0,35.59295499021526,175,1533
BGENL030-23,1365,5311519,0.0,205.0,83.80234833659492,502,1533
BGENL031-23,484,6341667,0.0,68.0,32.91585127201566,93,1533
