ambig_basecount	ambig_full_basecount	cov_avg	cov_max	cov_min	dataset	error	genes	identification	identification_method	identification_rank	length	n_aligned	n_reads	nuc_basecount	nuc_full_basecount	obs_taxon	output_dir	protein_reference_file	r	run_name	s	samples_file	sequence_id	skipped_reads_low_rel_score	species	stop_codons
0	0	293.5303326810176	453.0	0.0	data/mge_fastp_r1s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	3683	11831570	651	1515	Syrphidae,Hippoboscidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-fastp_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1]	mge_fastp_r1s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL001-23_r_1_s_100	189	Astomella hispaniae	0
7	25	7.326810176125244	15.0	1.0	data/mge_fastp_r1s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	114	332112	657	1533	Muscidae,Anthomyiidae,Calliphoridae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-fastp_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1]	mge_fastp_r1s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL002-23_r_1_s_100	4	Astomella hispaniae	0
0	13	204.0078277886497	362.0	0.0	data/mge_fastp_r1s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	2723	15623546	651	1512	Syrphidae,Hippoboscidae,Boreidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-fastp_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1]	mge_fastp_r1s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL003-23_r_1_s_100	123	Astomella hispaniae	0
0	0	1480.2544031311154	2017.0	0.0	data/mge_fastp_r1s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	19141	1933902	656	1530	Muscidae,Fanniidae,Oestridae,Tachinidae,Panorpidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-fastp_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1]	mge_fastp_r1s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL004-23_r_1_s_100	38	Cyrtus gibbus	0
7	33	1.7534246575342465	7.0	0.0	data/mge_fastp_r1s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	25	112545	185	906	Hydrophilidae,Staphylinidae,Culicidae,Syrphidae,Fergusoninidae,Tephritidae,Argidae,Nymphalidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-fastp_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1]	mge_fastp_r1s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL005-23_r_1_s_100	4	Cyrtus gibbus	1
0	0	483.83757338551857	877.0	0.0	data/mge_fastp_r1s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	7462	4451726	656	1530	Drosophilidae,Muscidae,Anthomyiidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-fastp_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1]	mge_fastp_r1s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL006-23_r_1_s_100	51	Cyrtus gibbus	0
0	0	709.4324853228962	1038.0	0.0	data/mge_fastp_r1s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	9093	7697421	657	1530	Acroceridae,Streblidae,Muscidae,Fanniidae,Anthomyiidae,Tachinidae,Rhinophoridae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-fastp_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1]	mge_fastp_r1s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL007-23_r_1_s_100	113	Ogcodes zonatus	0
0	0	148.2720156555773	223.0	0.0	data/mge_fastp_r1s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	2023	4076653	657	1530	Acroceridae,Syrphidae,Drosophilidae,Muscidae,Anthomyiidae,Sarcophagidae,Tachinidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-fastp_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1]	mge_fastp_r1s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL008-23_r_1_s_100	18	Ogcodes zonatus	0
43	100	1.4853228962818004	4.0	0.0	data/mge_fastp_r1s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	22	155154	520	1122	Cicadellidae,Culicidae,Erebidae,Pieridae,Crambidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-fastp_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1]	mge_fastp_r1s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL009-23_r_1_s_100	0	Ogcodes zonatus	0
0	0	28.73385518590998	59.0	9.0	data/mge_fastp_r1s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	487	909291	657	1533	Acroceridae,Dolichopodidae,Syrphidae,Chloropidae,Muscidae,Tachinidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-fastp_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1]	mge_fastp_r1s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL010-23_r_1_s_100	5	Acrocera orbiculus	0
0	0	53.12524461839531	120.0	8.0	data/mge_fastp_r1s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	917	2460352	657	1533	Acroceridae,Dolichopodidae,Syrphidae,Chloropidae,Tephritidae,Muscidae,Tachinidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-fastp_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1]	mge_fastp_r1s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL011-23_r_1_s_100	8	Acrocera orbiculus	0
