processid	family	species	identification	identification_rank	identification_method	nuc_basecount	nuc_full_basecount	ambig_basecount	ambig_full_basecount	stop_codons	error	fasta_file
BSNHM1138-24	Chironomidae	Rheocricotopus effusus	Chironomidae	family	BLAST	656	1533	3	3	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1141-24	Chironomidae	Pseudosmittia recta	Chironomidae	family	BLAST	656	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1145-24	Chironomidae	Psectrocladius calcaratus	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1157-24	Chironomidae	Orthocladius grampianus	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1160-24	Chironomidae	Metriocnemus paganicus	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1161-24	Chironomidae	Metriocnemus fertus	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1162-24	Chironomidae	Metriocnemus deproperans	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1227-24	Chironomidae	Halocladius fucicola	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1235-24	Chironomidae	Cricotopus laricomalis	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1241-24	Chironomidae	Cricotopus biformis	Chironomidae	family	BLAST	656	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1276-24	Chironomidae	Chironomus moerens	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1289-24	Chironomidae	Glyptotendipes mancunianus	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1290-24	Chironomidae	Glyptotendipes paripes	Chironomidae	family	BLAST	656	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1301-24	Chironomidae	Omisus caledonicus	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1320-24	Chironomidae	Rheopelopia eximia	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1322-24	Chironomidae	Thienemannimyia northumbrica	Chironomidae	family	BLAST	656	1530	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1323-24	Chironomidae	Thienemannimyia woodi	Chironomidae	family	BLAST	657	1530	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1329-24	Chironomidae	Potthastia campestris	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1331-24	Chironomidae	Potthastia montium	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1332-24	Chironomidae	Potthastia pastoris	Chironomidae	family	BLAST	656	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1333-24	Chironomidae	Potthastia pastoris	Chironomidae	family	BLAST	656	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1334-24	Chironomidae	Pseudokiefferiella parva	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1340-24	Chironomidae	Diamesa gregsoni	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1341-24	Chironomidae	Boreoheptagyia cintipes	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1343-24	Chironomidae	Thalassomya frauenfeldi	Chironomidae	family	BLAST	657	1533	0	36	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1346-24	Chironomidae	Glyptotendipes foliicola	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1347-24	Chironomidae	Chironomus crassiforceps	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1348-24	Chironomidae	Graceus ambiguus	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1351-24	Chironomidae	Thienemanniella vittata	Chironomidae	family	BLAST	657	1530	0	33	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1352-24	Chironomidae	Tvetenia calvescens	Chironomidae	family	BLAST	657	1524	27	69	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1354-24	Chironomidae	Cladotanytarsus modicellus	Chironomidae	family	BLAST	656	1524	18	90	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1355-24	Chironomidae	Micropsectra apposita	Chironomidae	family	BLAST	656	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1357-24	Chironomidae	Micropsectra intrudens	Chironomidae	family	BLAST	656	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1364-24	Chironomidae	Paratanytarsus inopertus	Chironomidae	family	BLAST	657	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1365-24	Chironomidae	Paratanytarsus laccophilus	Chironomidae	family	BLAST	656	1518	36	258	1	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1366-24	Chironomidae	Paratanytarsus penicillatus	Chironomidae	family	BLAST	656	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1367-24	Chironomidae	Paratanytarsus penicillatus	Chironomidae	family	BLAST	655	1533	0	15	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1370-24	Chironomidae	Micropsectra monticola	Chironomidae	family	BLAST	656	1533	0	0	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
BSNHM1371-24	Chironomidae	Stempellinella brevis	Chironomidae	family	BLAST	655	1533	66	117	0	None	data/2024-08-26 BGE chironomids uploaded to BOLD.fasta
