processid	family	species	identification	identification_rank	identification_method	nuc_basecount	nuc_full_basecount	ambig_basecount	ambig_full_basecount	stop_codons	error	fasta_file
BSNHM1133-24	Chironomidae	Synorthocladius tripilatus	Chironomidae	family	BLAST	211	417	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1136-24	Chironomidae	Smittia brevifurcata	Chironomidae	family	BLAST	470	1005	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1147-24	Chironomidae	Paratrissocladius excerptus	None	family	BLAST	12	60	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1150-24	Chironomidae	Paraphaenocladius cuneatus	None	family	BLAST	504	1131	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1153-24	Chironomidae	Paracladius inserpens	None	family	BLAST	69	339	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1164-24	Chironomidae	Metriocnemus adjunctus	Chironomidae	family	BLAST	58	303	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1167-24	Chironomidae	Heterotrissocladius marcidus	None	family	BLAST	49	96	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1226-24	Chironomidae	Heleniella ornaticollis	None	family	BLAST	1	111	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1228-24	Chironomidae	Gymnometriocnemus subnudus	Chironomidae	family	BLAST	424	822	9	9	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1229-24	Chironomidae	Gymnometriocnemus brumalis	Chironomidae	family	BLAST	126	516	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1232-24	Chironomidae	Eukiefferiella hospita	Chironomidae	family	BLAST	549	1224	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1234-24	Chironomidae	Cricotopus lygropis	None	family	BLAST	23	36	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1238-24	Chironomidae	Cricotopus subcoerulescens	Chironomidae	family	BLAST	343	657	0	0	9	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1240-24	Chironomidae	Cricotopus lacuum	Chironomidae	family	BLAST	663	1101	0	0	7	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1242-24	Chironomidae	Corynoneura lobata	Chironomidae	family	BLAST	70	189	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1244-24	Chironomidae	Corynoneura innupta	Chironomidae	family	BLAST	70	276	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1246-24	Chironomidae	Corynoneura coronata	Chironomidae	family	BLAST	262	288	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1251-24	Chironomidae	Chaetocladius dentiforceps	Chironomidae	family	BLAST	1	81	0	0	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
BSNHM1259-24	Chironomidae	Bryophaenocladius femineus	Chironomidae	family	BLAST	655	1497	0	4	0	None	data/2024-08-26 BGE chironomids NOT UPLOADED to BOLD.fasta
