processid	family	species	identification	identification_rank	identification_method	nuc_basecount	nuc_full_basecount	ambig_basecount	ambig_full_basecount	stop_codons	error	fasta_file
BGENL1000-24	Histeridae	Chalcionellus decemstriatus	None	family	BLAST	657	1515	0	0	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1001-24	Histeridae	Halacritus punctum	None	family	BLAST	657	1515	1	1	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1002-24	Histeridae	Hister quadrinotatus	None	family	BLAST	657	1515	0	0	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1003-24	Histeridae	Hister quadrinotatus	None	family	BLAST	657	1515	0	0	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1004-24	Histeridae	Hister quadrinotatus	None	family	BLAST	657	1515	1	5	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1005-24	Histeridae	Margarinotus ignobilis	None	family	BLAST	657	1515	0	0	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1006-24	Histeridae	Margarinotus ignobilis	None	family	BLAST	657	1515	0	0	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1007-24	Histeridae	Margarinotus punctiventer	None	family	BLAST	657	1515	0	0	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1008-24	Histeridae	Margarinotus punctiventer	None	family	BLAST	657	1515	0	0	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1009-24	Histeridae	Margarinotus punctiventer	None	family	BLAST	657	1515	0	0	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1010-24	Histeridae	Platysoma elongatum	None	family	BLAST	657	1515	0	0	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1011-24	Histeridae	Platysoma elongatum	None	family	BLAST	560	1074	0	8	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1012-24	Histeridae	Platysoma elongatum	None	family	BLAST	233	990	1	24	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1013-24	Histeridae	Saprinus politus	None	family	BLAST	657	1509	6	6	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1014-24	Histeridae	Saprinus politus	None	family	BLAST	657	1413	0	3	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1015-24	Histeridae	Saprinus politus	None	family	BLAST	503	990	40	51	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1016-24	Histeridae	Saprinus rugifer	None	family	BLAST	626	1344	14	29	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
BGENL1017-24	Histeridae	Saprinus rugifer	None	family	BLAST	560	1158	3	14	0	None	data/BGE00174_MGE_cox1_insect_universal.fas
