Process ID,n_reads,n_aligned,cov_min,cov_max,cov_avg,skipped_reads_low_rel_score,length
BGENL001-23,5734,23494514,0.0,802.0,410.64579256360076,1819,1533
BGENL002-23,203,672618,0.0,26.0,11.986301369863014,24,1533
BGENL003-23,4286,30824217,0.0,650.0,295.26614481409,1275,1533
BGENL004-23,30516,3763272,0.0,3496.0,2174.0508806262233,4604,1533
BGENL005-23,36,228144,0.0,10.0,2.4050880626223092,11,1533
BGENL006-23,13019,8854925,0.0,1675.0,808.3091976516635,1462,1533
BGENL007-23,15747,15398419,0.0,1911.0,1128.2504892367906,2294,1533
BGENL008-23,3565,8073163,0.0,414.0,245.720156555773,411,1533
BGENL009-23,38,313984,0.0,8.0,2.544031311154599,7,1533
BGENL010-23,850,1723753,0.0,107.0,47.27788649706458,39,1533
BGENL011-23,1493,4828538,0.0,202.0,80.45205479452055,171,1533
BGENL012-23,54,553969,0.0,10.0,3.4090019569471623,26,1533
BGENL013-23,368,804124,0.0,54.0,21.844357976653697,17,1542
BGENL014-23,70,822011,0.0,10.0,4.229571984435798,27,1542
BGENL015-23,89,657613,0.0,14.0,4.696498054474708,13,1542
BGENL016-23,78,1023959,0.0,14.0,5.250972762645914,38,1542
BGENL017-23,341,2131679,0.0,48.0,17.554474708171206,33,1542
BGENL018-23,872,2411736,0.0,124.0,44.268482490272376,35,1542
BGENL019-23,13760,57097576,0.0,1290.0,723.7573385518591,458,1533
BGENL020-23,175,13373079,0.0,22.0,9.767123287671232,12,1533
BGENL021-23,115,11114861,0.0,16.0,7.262230919765166,37,1533
BGENL022-23,29398,31976221,670.0,3049.0,1870.20156555773,2125,1533
BGENL023-23,210,15941243,0.0,95.0,11.084148727984344,173,1533
BGENL024-23,10924,7652044,261.0,1052.0,680.4070450097847,133,1533
BGENL025-23,48,357975,0.0,12.0,3.2818003913894325,19,1533
BGENL026-23,3910,54550141,72.0,342.0,230.01761252446184,71,1533
BGENL027-23,62,375654,0.0,17.0,3.996086105675147,29,1533
BGENL028-23,1520,11478429,24.0,175.0,88.34637964774952,8,1533
BGENL029-23,1250,2442272,9.0,153.0,81.0,112,1533
BGENL030-23,3133,10431636,38.0,385.0,191.08610567514677,335,1533
BGENL031-23,1095,12560954,27.0,121.0,71.48140900195695,28,1533
BGENL032-23,147,3160201,0.0,24.0,9.855185909980431,15,1533
BGENL033-23,1235,26175122,16.0,219.0,73.76908023483367,109,1533
BGENL034-23,5730,4721755,0.0,663.0,326.399217221135,383,1533
BGENL035-23,114,4770637,0.0,24.0,6.50293542074364,29,1533
BGENL036-23,825,5849675,0.0,101.0,46.146771037182,56,1533
BGENL037-23,1814,16799994,0.0,247.0,95.94911937377691,134,1533
BGENL038-23,1640,8591228,0.0,176.0,85.93737769080235,96,1533
BGENL039-23,2662,11065117,0.0,331.0,148.0587084148728,194,1533
BGENL040-23,3383,16319778,0.0,344.0,207.43639921722112,241,1533
BGENL041-23,1152,5482984,0.0,174.0,59.839530332681015,46,1533
BGENL042-23,896,8106367,0.0,104.0,55.28962818003914,150,1533
BGENL043-23,3530,14157713,0.0,418.0,199.30528375733854,181,1533
BGENL044-23,3773,11215534,0.0,399.0,231.0371819960861,254,1533
BGENL045-23,1256,9703502,0.0,124.0,71.4187866927593,78,1533
BGENL046-23,33376,3230119,0.0,3772.0,1946.2818003913894,2924,1533
BGENL047-23,585,11630975,0.0,84.0,31.16046966731898,41,1533
BGENL048-23,2813,68558252,0.0,376.0,163.6986301369863,303,1533
BGENL049-23,1604,8901239,19.0,140.0,87.30332681017613,19,1533
BGENL050-23,247,2979600,3.0,38.0,14.354207436399218,38,1533
BGENL051-23,1030,1746399,8.0,116.0,53.81996086105675,16,1533
BGENL052-23,1610,10127233,43.0,163.0,111.99412915851272,31,1533
BGENL053-23,2610,9440835,70.0,285.0,176.95303326810176,34,1533
BGENL054-23,88,1290402,0.0,22.0,5.945205479452055,82,1533
BGENL055-23,917,3059816,11.0,105.0,52.986301369863014,40,1533
BGENL056-23,1242,1467968,35.0,132.0,76.21722113502935,48,1533
BGENL057-23,1457,1298450,22.0,147.0,78.08610567514677,67,1533
BGENL058-23,95,938567,0.0,27.0,5.9495145631067965,14,1545
BGENL059-23,24,397524,0.0,10.0,1.4873786407766991,9,1545
BGENL060-23,16,267291,0.0,6.0,0.9029126213592233,22,1545
BGENL061-23,100,1902434,0.0,24.0,5.418786692759295,12,1533
BGENL062-23,52,3855892,0.0,12.0,3.0097847358121332,32,1533
BGENL063-23,703,2945656,4.0,74.0,36.737769080234834,16,1533
BGENL064-23,656,3382410,0.0,101.0,33.79843444227006,29,1533
BGENL065-23,890,7495382,18.0,91.0,57.25048923679061,38,1533
BGENL066-23,504,1729912,4.0,53.0,27.504892367906066,14,1533
BGENL067-23,98,10690750,0.0,17.0,6.416829745596869,33,1533
BGENL068-23,4196,22260568,154.0,434.0,265.2739726027397,114,1533
BGENL069-23,595,7927915,10.0,98.0,31.61252446183953,24,1533
BGENL070-23,127,258744,0.0,22.0,7.972602739726027,14,1533
BGENL071-23,114,592616,0.0,24.0,6.291585127201565,19,1533
BGENL072-23,383,6379191,4.0,48.0,22.03326810176125,9,1533
BGENL073-23,222,3739978,0.0,32.0,12.32876712328767,11,1533
