ambig_basecount	ambig_full_basecount	error	family	fasta_file	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	process_id	species	stop_codons
24	49	None	Dolichopodidae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Dolichopodidae	BLAST	None	652	1368	Tettigoniidae,Dolichopodidae,Ulidiidae,Vespidae	BGENL476-23	Sciapus nervosus	0
34	35	None	Dolichopodidae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Dolichopodidae	BLAST	None	584	1221	Acrididae,Anthocoridae,Ninidae,Curculionidae,Dermestidae,Bostrichidae,Ptinidae,Psychodidae,Vespidae	BGENL477-23	Sciapus nervosus	0
27	82	None	Dolichopodidae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Dolichopodidae	BLAST	None	656	1365	Tettigoniidae,Nitidulidae,Curculionidae,Bostrichidae,Ptinidae,Ulidiidae,Vespidae,Tetracampidae	BGENL478-23	Sciapus nervosus	0
0	0	None	Dolichopodidae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Dolichopodidae	BLAST	None	656	1527	Dolichopodidae	BGENL479-23	Tachytrechus insignis	0
4	4	None	Dolichopodidae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Dolichopodidae	BLAST	None	491	1140	Culicidae,Dolichopodidae,Hybotidae,Syrphidae,Tortricidae	BGENL480-23	Tachytrechus insignis	0
0	0	None	Dolichopodidae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Dolichopodidae	BLAST	None	656	1515	Dolichopodidae	BGENL481-23	Tachytrechus insignis	0
0	0	None	Dolichopodidae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Dolichopodidae	BLAST	None	656	1515	Dolichopodidae,Drosophilidae	BGENL482-23	Thinophilus flavipalpis	0
0	11	None	Dolichopodidae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Dolichopodidae	BLAST	None	656	1509	Gryllidae,Dermestidae,Tephritidae	BGENL483-23	Thinophilus flavipalpis	0
1	3	None	Dolichopodidae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Dolichopodidae	BLAST	None	656	1515	Dolichopodidae,Drosophilidae	BGENL484-23	Thinophilus flavipalpis	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	330	411	Empididae,Dolichopodidae,Syrphidae,Drosophilidae	BGENL485-23	Hemerodromia unilineata	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	41	78	Simuliidae,Empididae,Drosophilidae,Anthomyiidae	BGENL486-23	Hemerodromia unilineata	0
1	2	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	348	420	Miridae,Ceratopogonidae	BGENL487-23	Hemerodromia unilineata	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	657	1515	Empididae,Hybotidae,Drosophilidae,Muscidae	BGENL488-23	Hilara aartseni	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	657	1515	Empididae,Hybotidae,Drosophilidae,Muscidae	BGENL489-23	Hilara aartseni	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	657	1515	Empididae,Hybotidae,Drosophilidae,Muscidae	BGENL490-23	Hilara aartseni	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	657	1515	Empididae,Syrphidae,Drosophilidae,Tephritidae	BGENL491-23	Hilara albitarsis	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	445	681	Dytiscidae,Simuliidae,Empididae,Dolichopodidae,Muscidae,Hemerobiidae	BGENL492-23	Hilara albitarsis	0
23	37	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	635	1350	Empididae	BGENL493-23	Hilara albitarsis	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	657	1515	Empididae,Hybotidae,Drosophilidae,Tephritidae	BGENL494-23	Hilara anglodanica	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	657	1524	Empididae,Hybotidae,Drosophilidae,Tephritidae	BGENL495-23	Hilara anglodanica	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	657	1515	Empididae,Hybotidae,Drosophilidae,Tephritidae	BGENL496-23	Hilara anglodanica	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	657	1515	Empididae,Psilidae,Drosophilidae,Ephydridae,Anthomyiidae	BGENL497-23	Hilara apta	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	657	1515	Empididae,Psilidae,Drosophilidae,Ephydridae,Anthomyiidae	BGENL498-23	Hilara apta	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	204	924	Delphacidae,Scarabaeidae,Mycetophilidae,Limoniidae,Asilidae	BGENL499-23	Hilara apta	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	657	1515	Empididae,Dolichopodidae,Syrphidae,Psilidae,Drosophilidae,Tephritidae	BGENL500-23	Hilara angustifrons	0
0	0	None	Empididae	data/BGE00174_MGE_cox1_insect_universal_swapped.fas	Empididae	BLAST	None	657	1515	Empididae,Dolichopodidae,Syrphidae,Psilidae,Drosophilidae,Tephritidae	BGENL501-23	Hilara angustifrons	0
