ambig_basecount	ambig_full_basecount	error	family	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	process_id	species	stop_codons	fasta_file
0	11	BGE00170-NC not in BOLD	None	None	BLAST	family	276	795		BGE00170-NC	None	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Chloropidae	Chloropidae	BLAST	family	657	1515	Syrphidae,Chloropidae,Drosophilidae,Ephydridae	BGENL571-23	Eurina lurida	0	data/BGE00170_MGE_cox1_insect_universal.fas
1	13	None	Chloropidae	Chloropidae	BLAST	family	657	1515	Syrphidae,Chloropidae,Psilidae,Drosophilidae,Ephydridae	BGENL572-23	Eurina lurida	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Chloropidae	Chloropidae	BLAST	family	657	1527	Syrphidae,Chloropidae,Drosophilidae,Ephydridae	BGENL573-23	Eurina lurida	0	data/BGE00170_MGE_cox1_insect_universal.fas
2	8	None	Chloropidae	Chloropidae	BLAST	family	656	1401	Syrphidae,Drosophilidae,Pallopteridae,Tachinidae	BGENL574-23	Lipara rufitarsis	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Chloropidae	Chloropidae	BLAST	family	656	1515	Chloropidae,Drosophilidae	BGENL575-23	Lipara rufitarsis	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	13	None	Chloropidae	Chloropidae	BLAST	family	500	1044	Simuliidae,Chloropidae,Tabanidae,Rhagionidae,Noctuidae,Hesperiidae	BGENL576-23	Lipara rufitarsis	0	data/BGE00170_MGE_cox1_insect_universal.fas
3	6	None	Chloropidae	Chloropidae	BLAST	family	500	879	Sarcophagidae	BGENL577-23	Neohaplegis tarsata	0	data/BGE00170_MGE_cox1_insect_universal.fas
9	10	None	Chloropidae	Chloropidae	BLAST	family	534	1068	Syrphidae,Chloropidae,Drosophilidae,Calliphoridae	BGENL578-23	Neohaplegis tarsata	0	data/BGE00170_MGE_cox1_insect_universal.fas
7	31	None	Chloropidae	Chloropidae	BLAST	family	256	963	Chloropidae,Drosophilidae,Curtonotidae,Muscidae,Anthomyiidae,Tachinidae	BGENL579-23	Neohaplegis tarsata	0	data/BGE00170_MGE_cox1_insect_universal.fas
2	2	None	Chloropidae	Chloropidae	BLAST	family	657	1470	Drosophilidae,Ephydridae,Muscidae,Fanniidae	BGENL580-23	Parectecephala longicornis	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Chloropidae	Chloropidae	BLAST	family	657	1515	Chloropidae,Psilidae,Drosophilidae,Fanniidae,Anthomyiidae	BGENL581-23	Parectecephala longicornis	0	data/BGE00170_MGE_cox1_insect_universal.fas
14	14	None	Chloropidae	Chloropidae	BLAST	family	551	1047	Staphylinidae,Coccinellidae,Drosophilidae,Celyphidae,Agromyzidae	BGENL582-23	Parectecephala longicornis	0	data/BGE00170_MGE_cox1_insect_universal.fas
9	42	None	Chloropidae	Chloropidae	BLAST	family	656	1395	Psilidae,Drosophilidae	BGENL583-23	Rhopalopterum anthracinum	0	data/BGE00170_MGE_cox1_insect_universal.fas
10	46	None	Chloropidae	Chloropidae	BLAST	family	657	1515	Psilidae,Drosophilidae,Sphaeroceridae,Muscidae	BGENL584-23	Rhopalopterum anthracinum	0	data/BGE00170_MGE_cox1_insect_universal.fas
1	7	None	Chloropidae	Chloropidae	BLAST	family	433	909	Conopidae,Drosophilidae	BGENL585-23	Rhopalopterum anthracinum	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Conopidae	Conopidae	BLAST	family	657	1527	Conopidae,Drosophilidae	BGENL586-23	Dalmannia punctata	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	3	None	Conopidae	Conopidae	BLAST	family	656	1518	Platypezidae,Drosophilidae,Muscidae	BGENL587-23	Dalmannia punctata	0	data/BGE00170_MGE_cox1_insect_universal.fas
8	57	None	Conopidae	Conopidae	BLAST	family	655	1248	Carabidae,Pipunculidae,Conopidae,Sphaeroceridae	BGENL588-23	Dalmannia punctata	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Conopidae	Conopidae	BLAST	family	656	1524	Conopidae,Sphaeroceridae,Tephritidae,Pallopteridae	BGENL589-23	Leopoldius brevirostris	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Conopidae	Conopidae	BLAST	family	656	1524	Conopidae,Sphaeroceridae,Tephritidae,Pallopteridae	BGENL590-23	Leopoldius brevirostris	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Conopidae	Conopidae	BLAST	family	656	1515	Conopidae,Sphaeroceridae,Tephritidae,Pallopteridae	BGENL591-23	Leopoldius brevirostris	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Conopidae	Conopidae	BLAST	family	657	1524	Conopidae,Psilidae,Drosophilidae	BGENL592-23	Myopa dorsalis	0	data/BGE00170_MGE_cox1_insect_universal.fas
44	69	None	Conopidae	Conopidae	BLAST	family	582	1275	Conopidae,Drosophilidae,Pallopteridae,Muscidae	BGENL593-23	Myopa dorsalis	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Conopidae	Conopidae	BLAST	family	657	1527	Conopidae,Psilidae,Drosophilidae	BGENL594-23	Myopa dorsalis	0	data/BGE00170_MGE_cox1_insect_universal.fas
19	22	None	Conopidae	Conopidae	BLAST	family	657	1521	Conopidae,Drosophilidae,Lauxaniidae,Sphaeroceridae,Muscidae	BGENL595-23	Physocephala nigra	0	data/BGE00170_MGE_cox1_insect_universal.fas
18	69	None	Conopidae	Conopidae	BLAST	family	639	1485	Drosophilidae,Tachinidae	BGENL596-23	Physocephala nigra	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Conopidae	Conopidae	BLAST	family	657	1527	Syrphidae,Conopidae,Drosophilidae,Lauxaniidae,Sphaeroceridae,Pallopteridae,Muscidae	BGENL597-23	Physocephala nigra	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Conopidae	Conopidae	BLAST	family	656	1524	Lonchopteridae,Conopidae,Xylophagaidae	BGENL598-23	Thecophora fulvipes	0	data/BGE00170_MGE_cox1_insect_universal.fas
7	19	None	Conopidae	Conopidae	BLAST	family	656	1344	Lonchopteridae,Conopidae,Xylophagaidae	BGENL599-23	Thecophora fulvipes	0	data/BGE00170_MGE_cox1_insect_universal.fas
6	8	None	Conopidae	Conopidae	BLAST	family	656	1500	Conopidae,Drosophilidae,Muscidae	BGENL600-23	Thecophora fulvipes	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	1	None	Dolichopodidae	Dolichopodidae	BLAST	family	657	1515	Dolichopodidae,Psilidae,Drosophilidae,Sphaeroceridae	BGENL601-23	Aphrosylus ferox	0	data/BGE00170_MGE_cox1_insect_universal.fas
16	35	None	Dolichopodidae	Dolichopodidae	BLAST	family	461	1143	Carabidae,Dolichopodidae,Syrphidae	BGENL602-23	Aphrosylus ferox	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Dolichopodidae	Dolichopodidae	BLAST	family	657	1515	Dolichopodidae,Syrphidae,Psilidae,Agromyzidae	BGENL603-23	Aphrosylus ferox	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	8	None	Dolichopodidae	Dolichopodidae	BLAST	family	657	1515	Dolichopodidae,Drosophilidae	BGENL604-23	Campsicnemus lumbatus	0	data/BGE00170_MGE_cox1_insect_universal.fas
1	28	None	Dolichopodidae	Dolichopodidae	BLAST	family	657	1497	Dolichopodidae,Drosophilidae	BGENL605-23	Campsicnemus lumbatus	0	data/BGE00170_MGE_cox1_insect_universal.fas
1	1	None	Dolichopodidae	Dolichopodidae	BLAST	family	657	1452	Dolichopodidae,Drosophilidae	BGENL606-23	Campsicnemus lumbatus	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	21	None	Dolichopodidae	Dolichopodidae	BLAST	family	403	939	Dolichopodidae,Drosophilidae	BGENL607-23	Campsicnemus magius	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Dolichopodidae	Dolichopodidae	BLAST	family	657	1515	Drosophilidae	BGENL608-23	Campsicnemus magius	0	data/BGE00170_MGE_cox1_insect_universal.fas
1	1	None	Dolichopodidae	Dolichopodidae	BLAST	family	657	1491	Drosophilidae	BGENL609-23	Campsicnemus magius	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Dolichopodidae	Dolichopodidae	BLAST	family	657	1515	Dolichopodidae,Drosophilidae	BGENL610-23	Chrysotus palustris	0	data/BGE00170_MGE_cox1_insect_universal.fas
2	3	None	Dolichopodidae	Dolichopodidae	BLAST	family	657	1515	Dolichopodidae,Drosophilidae	BGENL611-23	Chrysotus palustris	0	data/BGE00170_MGE_cox1_insect_universal.fas
2	23	None	Dolichopodidae	Dolichopodidae	BLAST	family	418	933	Formicidae,Tortricidae,Bombycidae,Geometridae	BGENL612-23	Chrysotus palustris	0	data/BGE00170_MGE_cox1_insect_universal.fas
14	27	None	Dolichopodidae	Dolichopodidae	BLAST	family	495	918	Silphidae,Chironomidae,Chloropidae,Tephritidae,Ulidiidae,Muscidae,Sarcophagidae,Carposinidae	BGENL613-23	Dolichopus arbustorum	0	data/BGE00170_MGE_cox1_insect_universal.fas
0	0	None	Dolichopodidae	Dolichopodidae	BLAST	family	657	1515	Dolichopodidae	BGENL614-23	Dolichopus arbustorum	0	data/BGE00170_MGE_cox1_insect_universal.fas
