processid	family	species	identification	identification_rank	identification_method	nuc_basecount	nuc_full_basecount	ambig_basecount	ambig_full_basecount	stop_codons	error	fasta_file
BGENL1236-24	Psilidae	Chamaepsila limbatella	Psilidae	family	BLAST	657	1509	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1237-24	Psilidae	Chamaepsila limbatella	Psilidae	family	BLAST	657	1536	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1238-24	Psilidae	Chamaepsila limbatella	Psilidae	family	BLAST	657	1536	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1239-24	Psilidae	Chamaepsila pallida	Psilidae	family	BLAST	657	1536	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1240-24	Psilidae	Chamaepsila pallida	Psilidae	family	BLAST	657	1536	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1241-24	Psilidae	Chamaepsila pallida	Psilidae	family	BLAST	93	585	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1242-24	Psilidae	Chamaepsila persimilis	Psilidae	family	BLAST	657	993	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1242-24	Psilidae	Chamaepsila persimilis	Psilidae	family	BLAST	79	204	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1243-24	Psilidae	Chamaepsila persimilis	Psilidae	family	BLAST	657	1536	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1244-24	Psilidae	Chamaepsila persimilis	Psilidae	family	BLAST	340	483	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1244-24	Psilidae	Chamaepsila persimilis	Psilidae	family	BLAST	629	666	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1245-24	Psilidae	Chamaepsila rosae	Psilidae	family	BLAST	657	1536	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1246-24	Psilidae	Chamaepsila rosae	Psilidae	family	BLAST	503	762	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1247-24	Psilidae	Chamaepsila rosae	Psilidae	family	BLAST	521	558	0	0	0	None	data/BGE00180_S2M_cox1.fasta
BGENL1248-24	Rhagionidae	Chrysopilus cristatus	Rhagionidae	family	BLAST	657	1509	0	0	0	None	data/BGE00180_S2M_cox1.fasta
