Process ID,n_reads,n_aligned,cov_min,cov_max,cov_avg,skipped_reads_low_rel_score,length
BGENL001-23,3858,11831570,0.0,507.0,257.77886497064577,1891,1533
BGENL002-23,145,332112,0.0,15.0,7.984344422700587,24,1533
BGENL003-23,2990,15623546,0.0,363.0,185.6027397260274,1703,1533
BGENL004-23,19649,1933902,2.0,2186.0,1375.8884540117417,3840,1533
BGENL005-23,27,112545,0.0,6.0,1.6634050880626223,25,1533
BGENL006-23,10447,4451726,1.0,996.0,553.3776908023483,1984,1533
BGENL007-23,9840,7697421,0.0,1114.0,682.5675146771038,2619,1533
BGENL008-23,2280,4076653,0.0,233.0,147.87866927592955,598,1533
BGENL009-23,38,155154,0.0,5.0,1.8767123287671232,12,1533
BGENL010-23,767,909291,2.0,77.0,37.03522504892368,111,1533
BGENL011-23,1519,2460352,0.0,153.0,67.09197651663405,345,1533
BGENL012-23,42,277921,0.0,6.0,2.099804305283757,42,1533
BGENL013-23,280,399481,0.0,32.0,15.136186770428015,20,1542
BGENL014-23,48,394078,0.0,6.0,2.566147859922179,29,1542
BGENL015-23,92,321738,0.0,10.0,3.700389105058366,23,1542
BGENL016-23,55,501025,0.0,8.0,3.2412451361867705,40,1542
BGENL017-23,428,1056050,0.0,39.0,16.760700389105057,53,1542
BGENL018-23,956,1192549,0.0,75.0,38.75875486381323,76,1542
BGENL019-23,15197,28526282,0.0,1221.0,624.8688845401174,986,1533
BGENL020-23,184,6737853,0.0,20.0,7.945205479452055,141,1533
BGENL021-23,122,5439432,0.0,23.0,5.682974559686889,190,1533
BGENL022-23,20777,17617181,722.0,1925.0,1256.986301369863,2842,1533
BGENL023-23,467,7463725,1.0,139.0,16.29354207436399,725,1533
BGENL024-23,7530,3845514,239.0,608.0,422.6594911937378,253,1533
BGENL025-23,34,174425,0.0,6.0,2.1956947162426617,12,1533
BGENL026-23,2993,27937368,61.0,228.0,152.46575342465752,557,1533
BGENL027-23,48,190032,0.0,12.0,2.7729941291585125,25,1533
BGENL028-23,1116,5869998,22.0,102.0,56.35029354207436,47,1533
BGENL029-23,828,1223881,7.0,93.0,50.166340508806265,94,1533
BGENL030-23,2289,5311519,32.0,221.0,126.573385518591,393,1533
BGENL031-23,819,6341667,22.0,80.0,46.414872798434445,372,1533
BGENL032-23,112,1617657,0.0,15.0,6.743639921722114,52,1533
BGENL033-23,899,13995052,15.0,126.0,47.42270058708415,627,1533
BGENL034-23,4793,2418174,0.0,742.0,238.37964774951075,759,1533
BGENL035-23,129,2471221,0.0,19.0,5.483365949119373,85,1533
BGENL036-23,828,2919467,0.0,70.0,36.48727984344423,158,1533
BGENL037-23,2095,8911113,0.0,192.0,86.83953033268102,334,1533
BGENL038-23,1782,4317458,0.0,155.0,74.43835616438356,272,1533
BGENL039-23,2681,5829438,0.0,224.0,118.85127201565558,391,1533
BGENL040-23,2726,8244244,1.0,244.0,140.7279843444227,533,1533
BGENL041-23,1437,2767780,0.0,160.0,58.45009784735812,217,1533
BGENL042-23,713,4112922,1.0,67.0,36.726027397260275,203,1533
BGENL043-23,3575,7095239,0.0,291.0,159.35225048923678,395,1533
BGENL044-23,2781,5692098,0.0,240.0,149.2426614481409,361,1533
BGENL045-23,1062,4959995,0.0,100.0,51.342465753424655,169,1533
BGENL046-23,28234,1735596,4.0,2676.0,1443.628180039139,4459,1533
BGENL047-23,802,5818531,0.0,69.0,31.397260273972602,202,1533
BGENL048-23,3201,35105183,1.0,449.0,138.49706457925635,1405,1533
BGENL049-23,1447,4395687,21.0,113.0,64.47358121330724,49,1533
BGENL050-23,213,1489684,2.0,29.0,10.450097847358121,74,1533
BGENL051-23,860,867703,8.0,84.0,38.00391389432485,25,1533
BGENL052-23,1010,5293367,29.0,95.0,67.90606653620353,294,1533
BGENL053-23,1669,4830516,62.0,167.0,106.90802348336595,282,1533
BGENL054-23,90,661621,0.0,21.0,5.136986301369863,159,1533
BGENL055-23,702,2537081,9.0,67.0,37.217221135029355,55,1533
BGENL056-23,866,780554,22.0,82.0,48.69471624266145,75,1533
BGENL057-23,1248,772539,17.0,92.0,57.759295499021526,104,1533
BGENL058-23,69,513310,0.0,16.0,3.7572815533980584,23,1545
BGENL059-23,24,200989,0.0,9.0,1.279611650485437,16,1545
BGENL060-23,15,130328,0.0,5.0,0.6854368932038835,16,1545
BGENL061-23,134,944191,0.0,18.0,5.180039138943249,32,1533
BGENL062-23,50,1976444,0.0,6.0,2.3424657534246576,46,1533
BGENL063-23,597,1494972,3.0,52.0,26.268101761252446,46,1533
BGENL064-23,557,1682683,0.0,58.0,24.45205479452055,45,1533
BGENL065-23,617,3780701,15.0,65.0,36.02152641878669,153,1533
BGENL066-23,429,866076,3.0,36.0,19.904109589041095,30,1533
BGENL067-23,101,5738636,0.0,25.0,4.739726027397261,115,1533
BGENL068-23,2845,11810557,99.0,260.0,170.17808219178082,323,1533
BGENL069-23,485,4100804,6.0,59.0,21.97651663405088,71,1533
BGENL070-23,91,127543,0.0,10.0,5.007827788649706,9,1533
BGENL071-23,94,299382,0.0,15.0,4.483365949119373,33,1533
BGENL072-23,282,3218793,4.0,29.0,14.078277886497064,56,1533
BGENL073-23,208,1885582,1.0,24.0,9.193737769080235,49,1533
BGENL074-23,383,2483656,0.0,68.0,16.1545988258317,59,1533
BGENL075-23,1209,1973558,19.0,106.0,59.37573385518591,121,1533
BGENL076-23,177,1891109,0.0,21.0,8.38160469667319,61,1533
BGENL077-23,821,1279897,4.0,75.0,35.70645792563601,62,1533
BGENL078-23,47,162894,0.0,8.0,2.0626223091976517,15,1533
BGENL079-23,646,1353295,15.0,81.0,41.28375733855186,277,1533
BGENL080-23,721,4952397,16.0,67.0,37.91976516634051,87,1533
