Process ID,n_reads,n_aligned,cov_min,cov_max,cov_avg,skipped_reads_low_rel_score,length
BGENL001-23,4525,23494514,0.0,727.0,267.72211350293543,6716,1533
BGENL002-23,209,672618,0.0,25.0,10.731898238747554,117,1533
BGENL003-23,3757,30824217,0.0,664.0,215.59686888454013,5380,1533
BGENL004-23,23528,3763272,0.0,3553.0,1491.6751467710371,20162,1533
BGENL005-23,33,228144,0.0,12.0,2.0743639921722115,50,1533
BGENL006-23,13276,8854925,0.0,1832.0,678.0430528375734,10971,1533
BGENL007-23,13404,15398419,0.0,1879.0,849.9393346379647,10958,1533
BGENL008-23,3057,8073163,0.0,434.0,184.50293542074365,2553,1533
BGENL009-23,45,313984,0.0,8.0,2.1252446183953033,54,1533
BGENL010-23,1111,1723753,2.0,134.0,50.67318982387476,551,1533
BGENL011-23,2241,4828538,0.0,266.0,96.1174168297456,1324,1533
BGENL012-23,63,553969,0.0,10.0,3.045009784735812,91,1533
BGENL013-23,483,804124,0.0,50.0,24.974708171206224,76,1542
BGENL014-23,76,822011,0.0,10.0,3.8891050583657587,97,1542
BGENL015-23,165,657613,0.0,18.0,6.342412451361867,66,1542
BGENL016-23,80,1023959,0.0,14.0,4.073929961089494,114,1542
BGENL017-23,761,2131679,0.0,67.0,29.391050583657588,193,1542
BGENL018-23,1713,2411736,0.0,137.0,68.01945525291829,333,1542
BGENL019-23,25510,57097576,0.0,2143.0,1031.9510763209394,6294,1533
BGENL020-23,306,13373079,0.0,36.0,12.49706457925636,342,1533
BGENL021-23,178,11114861,0.0,20.0,8.477495107632095,434,1533
BGENL022-23,33632,31976221,914.0,3103.0,1921.0958904109589,8721,1533
BGENL023-23,511,15941243,0.0,219.0,17.749510763209393,1833,1533
BGENL024-23,13477,7652044,369.0,1114.0,743.1780821917808,1731,1533
BGENL025-23,51,357975,0.0,11.0,2.87866927592955,42,1533
BGENL026-23,4853,54550141,37.0,414.0,243.61839530332682,2042,1533
BGENL027-23,74,375654,0.0,18.0,3.9021526418786694,61,1533
BGENL028-23,1970,11478429,20.0,188.0,98.28571428571429,321,1533
BGENL029-23,1293,2442272,0.0,161.0,73.56164383561644,493,1533
BGENL030-23,3420,10431636,0.0,402.0,179.5362035225049,1654,1533
BGENL031-23,1297,12560954,0.0,143.0,71.95890410958904,947,1533
BGENL032-23,162,3160201,0.0,25.0,9.136986301369863,128,1533
BGENL033-23,1361,26175122,0.0,233.0,70.96477495107632,1434,1533
BGENL034-23,6803,4721755,0.0,1304.0,319.5929549902153,3517,1533
BGENL035-23,193,4770637,0.0,38.0,8.354207436399218,217,1533
BGENL036-23,1203,5849675,0.0,133.0,51.58904109589041,750,1533
BGENL037-23,2978,16799994,0.0,349.0,120.05283757338552,1831,1533
BGENL038-23,2506,8591228,0.0,249.0,100.90998043052838,1570,1533
BGENL039-23,3654,11065117,0.0,431.0,158.81800391389433,2410,1533
BGENL040-23,3976,16319778,0.0,465.0,194.64383561643837,2440,1533
BGENL041-23,2102,5482984,0.0,245.0,84.33463796477496,1108,1533
BGENL042-23,963,8106367,0.0,122.0,47.528375733855185,854,1533
BGENL043-23,5080,14157713,0.0,555.0,219.23287671232876,2785,1533
BGENL044-23,3866,11215534,0.0,449.0,201.91389432485323,2275,1533
BGENL045-23,1482,9703502,0.0,176.0,68.95499021526419,940,1533
BGENL046-23,35317,3230119,0.0,4705.0,1705.3052837573387,25375,1533
BGENL047-23,1166,11630975,0.0,135.0,44.2426614481409,815,1533
BGENL048-23,4306,68558252,0.0,726.0,174.14872798434442,4729,1533
BGENL049-23,2731,8901239,40.0,209.0,120.87279843444227,236,1533
BGENL050-23,333,2979600,2.0,54.0,15.86105675146771,243,1533
BGENL051-23,1627,1746399,16.0,162.0,71.58904109589041,118,1533
BGENL052-23,1547,10127233,8.0,152.0,99.65949119373776,841,1533
BGENL053-23,2723,9440835,16.0,285.0,168.46966731898237,930,1533
BGENL054-23,94,1290402,0.0,22.0,5.125244618395303,321,1533
BGENL055-23,1109,3059816,0.0,122.0,56.409001956947165,268,1533
BGENL056-23,1404,1467968,0.0,128.0,74.9412915851272,367,1533
BGENL057-23,2114,1298450,0.0,178.0,94.69471624266144,496,1533
BGENL058-23,96,938567,0.0,26.0,5.275728155339806,78,1545
BGENL059-23,33,397524,0.0,12.0,1.4271844660194175,41,1545
BGENL060-23,19,267291,0.0,10.0,0.8737864077669902,53,1545
BGENL061-23,202,1902434,0.0,34.0,7.592954990215264,143,1533
BGENL062-23,72,3855892,0.0,12.0,3.11545988258317,129,1533
BGENL063-23,1057,2945656,0.0,105.0,46.31506849315068,229,1533
