Process ID,n_reads,n_aligned,cov_min,cov_max,cov_avg,skipped_reads_low_rel_score,length
BSNHM002-24,3845864,None,None,None,None,None,None
BSNHM003-24,4939674,983,None,None,56.1675,None,1540
BSNHM004-24,4004506,17002,None,None,976.051,None,1540
BSNHM005-24,2290066,None,None,None,None,None,None
BSNHM006-24,18250722,861,None,None,54.9269,None,985
BSNHM007-24,4514614,107,None,None,15.8514,None,553
BSNHM008-24,13937348,68,None,None,22.0783,None,166
BSNHM009-24,11955262,120,None,None,19.4872,None,313
BSNHM010-24,7738136,None,None,None,None,None,None
BSNHM011-24,10484660,61108,None,None,3268.79,None,1540
BSNHM012-24,5278150,None,None,None,None,None,None
BSNHM013-24,4513826,None,None,None,None,None,None
BSNHM014-24,4367006,None,None,None,None,None,None
BSNHM015-24,4430698,None,None,None,None,None,None
BSNHM016-24,1777514,None,None,None,None,None,None
BSNHM017-24,5222748,1126,None,None,66.837,None,1540
BSNHM018-24,4819806,478,None,None,39.1124,None,934
BSNHM019-24,4506018,2057,None,None,143.923,None,1540
BSNHM020-24,3262750,None,None,None,None,None,None
BSNHM021-24,4326320,28989,None,None,1834.93,None,1564
BSNHM022-24,1394034,None,None,None,None,None,None
BSNHM023-24,15187370,3252,None,None,126.227,None,1540
BSNHM024-24,3820732,161,None,None,36.7815,None,325
BSNHM025-24,15792658,None,None,None,None,None,None
BSNHM026-24,431262,None,None,None,None,None,None
BSNHM027-24,37746782,5526,None,None,217.373,None,1540
BSNHM028-24,3038224,None,None,None,None,None,None
BSNHM029-24,9384548,None,None,None,None,None,None
BSNHM030-24,7585920,None,None,None,None,None,None
BSNHM031-24,4353050,None,None,None,None,None,None
BSNHM032-24,14695228,1956,None,None,82.5698,None,1225
BSNHM033-24,4793540,14,None,None,4.1871,None,310
BSNHM034-24,5029318,88,None,None,12.3699,None,466
BSNHM035-24,3951372,None,None,None,None,None,None
BSNHM036-24,3301538,None,None,None,None,None,None
BSNHM037-24,3584598,None,None,None,None,None,None
BSNHM038-24,3039264,260,None,None,36.4142,None,664
BSNHM039-24,5157610,2386,None,None,116.825,None,1540
BSNHM040-24,22648918,None,None,None,None,None,None
BSNHM041-24,1946374,1207,None,None,123.63,None,784
BSNHM042-24,6514948,665,None,None,40.2358,None,988
BSNHM043-24,14089196,2986,None,None,121.168,None,1540
BSNHM044-24,7406248,None,None,None,None,None,None
BSNHM045-24,24807804,76,None,None,16.4706,None,238
BSNHM046-24,1720444,88,None,None,13.8737,None,484
BSNHM047-24,1657472,2246,None,None,108.783,None,1540
BSNHM048-24,4687814,1195,None,None,65.0852,None,1538
BSNHM049-24,1557696,None,None,None,None,None,None
BSNHM050-24,2700696,None,None,None,None,None,None
BSNHM051-24,5254572,None,None,None,None,None,None
BSNHM052-24,4152472,None,None,None,None,None,None
BSNHM053-24,14713514,2969,None,None,152.486,None,1540
BSNHM054-24,3248864,1029,None,None,46.8978,None,1516
BSNHM055-24,4969530,859,None,None,48.7104,None,1516
BSNHM056-24,3995446,65,None,None,12.9188,None,382
BSNHM057-24,3457630,63,None,None,11.5949,None,391
BSNHM058-24,21843344,24480,None,None,808.145,None,1543
BSNHM059-24,3705164,5946,None,None,313.995,None,1540
BSNHM060-24,9848856,51,None,None,9.86648,None,352
BSNHM061-24,15810558,457,None,None,36.7038,None,844
BSNHM062-24,23733180,8490,None,None,366.598,None,1546
BSNHM063-24,4761834,None,None,None,None,None,None
