ambig_basecount	ambig_full_basecount	error	family	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	process_id	species	stop_codons	fasta_file
0	0	BGE00406-NC not in BOLD	None	None	BLAST	family	125	192		BGE00406-NC	None	0	data/BGE00406_MGE_cox1_insect_universal.fas
0	3	None	Ichneumonidae	Ichneumonidae	BLAST	family	654	1428	Ichneumonidae	BGLIB476-23	Hoplismenus axillatorius	0	data/BGE00406_MGE_cox1_insect_universal.fas
0	3	None	Ichneumonidae	Ichneumonidae	BLAST	family	657	1365	Ichneumonidae	BGLIB477-23	Ichneumon proletarius	0	data/BGE00406_MGE_cox1_insect_universal.fas
8	20	None	Ichneumonidae	Ichneumonidae	BLAST	family	654	1431	Hydraenidae,Tetratomidae,Dermestidae,Muscidae	BGLIB478-23	Metopius anxius	0	data/BGE00406_MGE_cox1_insect_universal.fas
4	7	None	Ichneumonidae	Ichneumonidae	BLAST	family	654	1386	Ichneumonidae,Vespidae	BGLIB479-23	Metopius anxius	0	data/BGE00406_MGE_cox1_insect_universal.fas
29	82	None	Ichneumonidae	Ichneumonidae	BLAST	family	629	1335	Ichneumonidae	BGLIB480-23	Metopius dentatus	0	data/BGE00406_MGE_cox1_insect_universal.fas
13	65	None	Ichneumonidae	Ichneumonidae	BLAST	family	639	1260	Braconidae,Ichneumonidae,Limacodidae	BGLIB481-23	Metopius dentatus	0	data/BGE00406_MGE_cox1_insect_universal.fas
47	104	None	Ichneumonidae	Ichneumonidae	BLAST	family	656	1464	Libellulidae,Culicidae	BGLIB482-23	Metopius dentatus	0	data/BGE00406_MGE_cox1_insect_universal.fas
0	9	None	Ichneumonidae	Ichneumonidae	BLAST	family	656	1377	Ichneumonidae	BGLIB483-23	Exochus citripes	0	data/BGE00406_MGE_cox1_insect_universal.fas
6	6	None	Ichneumonidae	Ichneumonidae	BLAST	family	557	645	Braconidae,Ichneumonidae,Torymidae	BGLIB484-23	Exochus incidens	0	data/BGE00406_MGE_cox1_insect_universal.fas
0	3	None	Ichneumonidae	Ichneumonidae	BLAST	family	657	1365	Ichneumonidae	BGLIB485-23	Exyston albicinctus	0	data/BGE00406_MGE_cox1_insect_universal.fas
0	3	None	Ichneumonidae	Ichneumonidae	BLAST	family	657	1431	Ichneumonidae	BGLIB486-23	Exyston albicinctus	0	data/BGE00406_MGE_cox1_insect_universal.fas
0	49	None	Ichneumonidae	Ichneumonidae	BLAST	family	309	1035	Ichneumonidae	BGLIB487-23	Glypta nigricornis	4	data/BGE00406_MGE_cox1_insect_universal.fas
30	45	None	Ichneumonidae	Ichneumonidae	BLAST	family	343	609	Ichneumonidae	BGLIB488-23	Gregopimpla bernuthii	0	data/BGE00406_MGE_cox1_insect_universal.fas
0	3	None	Ichneumonidae	Ichneumonidae	BLAST	family	655	1428	Ichneumonidae	BGLIB489-23	Gregopimpla bernuthii	0	data/BGE00406_MGE_cox1_insect_universal.fas
0	3	None	Ichneumonidae	Ichneumonidae	BLAST	family	656	1464	Ichneumonidae	BGLIB490-23	Hyperbatus orbitalis	0	data/BGE00406_MGE_cox1_insect_universal.fas
6	10	None	Ichneumonidae	Ichneumonidae	BLAST	family	504	1173	Ichneumonidae	BGLIB491-23	Ichneumon cerebrosus	0	data/BGE00406_MGE_cox1_insect_universal.fas
0	3	None	Ichneumonidae	Ichneumonidae	BLAST	family	657	1440	Ichneumonidae	BGLIB492-23	Ichneumon vorax	0	data/BGE00406_MGE_cox1_insect_universal.fas
