ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons
None	0	data/BGE00409_MGE-BGE_r_1_s_100.fas	BGE00409-NC not in BOLD	None	BLAST	family	None	0		BGE00409-NC_cns	None	0
0	0	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Chrysididae	BLAST	family	653	1530	Chrysididae	BGLIB761-24_cns	Chrysis chrysoprasina	0
13	19	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Chrysididae	BLAST	family	655	1587	Chrysididae	BGLIB762-24_cns	Chrysis obtusidens	0
5	12	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Chrysididae	BLAST	family	652	1509	Chrysididae	BGLIB763-24_cns	Chrysura candens	0
0	13	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Chrysididae	BLAST	family	656	1479	Braconidae,Chrysididae,Liopteridae,Crambidae	BGLIB764-24_cns	Euchroeus purpuratus	0
0	0	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Chrysididae	BLAST	family	434	852		BGLIB765-24_cns	Philoctetes truncatus	0
4	7	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Chrysididae	BLAST	family	655	1422	Chrysididae,Oecophoridae,Sphingidae,Noctuidae,Erebidae	BGLIB766-24_cns	Cleptes pallipes	0
0	0	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Chrysididae	BLAST	family	136	219		BGLIB767-24_cns	Cleptes semicyaneus	0
0	12	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Astatidae	BLAST	family	496	918	Curculionidae,Dermestidae,Bostrichidae,Psychodidae,Vespidae,Tetracampidae	BGLIB768-24_cns	Astata miegii	0
0	0	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Bembicidae	BLAST	family	656	1527	Sphecidae,Crabronidae,Apidae,Formicidae,Lycaenidae	BGLIB769-24_cns	Bembix zonata	0
0	0	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Pompilidae	BLAST	family	43	375	Calopterygidae,Kalotermitidae,Termitidae,Hodotermitidae,Phasmatidae,Trogossitidae	BGLIB770-24_cns	Agenioideus dichrous	0
0	0	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Pompilidae	BLAST	family	90	93	Coenagrionidae,Curculionidae,Dermestidae,Tortricidae	BGLIB771-24_cns	Arachnospila silvana	0
1	1	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Pompilidae	BLAST	family	91	93	Termitidae,Tettigoniidae,Ulidiidae,Vespidae	BGLIB772-24_cns	Evagetes tumidosus	0
12	24	data/BGE00409_MGE-BGE_r_1_s_100.fas	None	Pompilidae	BLAST	family	375	1011	Gerridae,Reduviidae	BGLIB773-24_cns	Ctenagenia vespiformis	1
