Process ID,n_aligned,n_reads,cov_min,cov_max,cov_avg,skipped_reads_low_rel_score,length
BGENL001-23,3479,23494514,0.0,697.0,236.426614481409,4074,1533
BGENL002-23,162,672618,0.0,22.0,9.313111545988258,66,1533
BGENL003-23,2819,30824217,0.0,643.0,186.8825831702544,2742,1533
BGENL004-23,19887,3763272,0.0,3473.0,1375.9236790606653,15235,1533
BGENL005-23,29,228144,0.0,10.0,1.9412915851272015,18,1533
BGENL006-23,9037,8854925,0.0,1627.0,547.0626223091976,5445,1533
BGENL007-23,11120,15398419,0.0,1788.0,777.6594911937377,6921,1533
BGENL008-23,2472,8073163,0.0,411.0,165.82191780821918,1504,1533
BGENL009-23,26,313984,0.0,8.0,1.5694716242661448,19,1533
BGENL010-23,677,1723753,0.0,106.0,37.29354207436399,212,1533
BGENL011-23,1285,4828538,0.0,199.0,67.72407045009784,381,1533
BGENL012-23,37,553969,0.0,8.0,2.289628180039139,43,1533
BGENL013-23,356,804124,0.0,50.0,20.996108949416342,29,1542
BGENL014-23,55,822011,0.0,8.0,3.301556420233463,42,1542
BGENL015-23,78,657613,0.0,14.0,3.914396887159533,24,1542
BGENL016-23,57,1023959,0.0,14.0,3.396887159533074,59,1542
BGENL017-23,326,2131679,0.0,48.0,16.461089494163424,48,1542
BGENL018-23,822,2411736,0.0,122.0,41.13618677042802,85,1542
BGENL019-23,12412,57097576,0.0,1271.0,638.6986301369863,1806,1533
BGENL020-23,152,13373079,0.0,20.0,8.234833659491194,35,1533
BGENL021-23,104,11114861,0.0,16.0,6.3776908023483365,48,1533
BGENL022-23,27122,31976221,651.0,2930.0,1713.06457925636,4402,1533
BGENL023-23,159,15941243,0.0,73.0,8.180039138943249,224,1533
BGENL024-23,10323,7652044,253.0,1029.0,643.9041095890411,734,1533
BGENL025-23,36,357975,0.0,11.0,2.379647749510763,31,1533
BGENL026-23,3416,54550141,37.0,338.0,198.89432485322897,565,1533
BGENL027-23,51,375654,0.0,17.0,3.152641878669276,40,1533
BGENL028-23,1399,11478429,15.0,173.0,81.15851272015655,129,1533
BGENL029-23,1027,2442272,0.0,134.0,65.45009784735812,335,1533
BGENL030-23,2559,10431636,0.0,382.0,152.2720156555773,912,1533
BGENL031-23,939,12560954,0.0,120.0,61.142857142857146,185,1533
BGENL032-23,122,3160201,0.0,23.0,8.029354207436398,40,1533
BGENL033-23,1023,26175122,0.0,219.0,60.551859099804304,321,1533
BGENL034-23,4339,4721755,0.0,658.0,242.3972602739726,1776,1533
