Process ID,n_aligned,n_reads,cov_min,cov_max,cov_avg,skipped_reads_low_rel_score,length
BGENL001-23,10208,23494514,2.0,941.0,634.6908023483365,1029,1533
BGENL002-23,308,672618,2.0,30.0,16.41487279843444,15,1533
BGENL003-23,8006,30824217,0.0,771.0,469.88062622309195,1124,1533
BGENL004-23,42889,3763272,4.0,3855.0,2815.6105675146773,748,1533
BGENL005-23,69,228144,0.0,12.0,4.113502935420744,14,1533
BGENL006-23,23437,8854925,3.0,1930.0,1223.6712328767123,766,1533
BGENL007-23,22584,15398419,0.0,2103.0,1421.4442270058707,878,1533
BGENL008-23,5182,8073163,2.0,441.0,309.73972602739724,238,1533
BGENL009-23,91,313984,0.0,12.0,4.487279843444227,8,1533
BGENL010-23,1593,1723753,18.0,138.0,73.50880626223092,61,1533
BGENL011-23,3406,4828538,9.0,306.0,149.89432485322897,102,1533
BGENL012-23,134,553969,0.0,18.0,6.784735812133072,20,1533
BGENL013-23,540,804124,0.0,57.0,27.94747081712062,16,1542
BGENL014-23,142,822011,0.0,13.0,7.239299610894942,31,1542
BGENL015-23,208,657613,0.0,20.0,8.441634241245136,21,1542
BGENL016-23,175,1023959,0.0,23.0,9.986381322957198,19,1542
BGENL017-23,913,2131679,0.0,84.0,35.976653696498055,31,1542
BGENL018-23,1968,2411736,0.0,155.0,79.13035019455253,44,1542
BGENL019-23,31138,57097576,0.0,2487.0,1276.352250489237,652,1533
BGENL020-23,451,13373079,0.0,44.0,18.328767123287673,197,1533
BGENL021-23,422,11114861,0.0,61.0,17.921722113502934,190,1533
BGENL022-23,40501,31976221,1163.0,3453.0,2328.9334637964776,1802,1533
BGENL023-23,1836,15941243,3.0,313.0,71.46771037181996,508,1533
BGENL024-23,14945,7652044,442.0,1153.0,814.5440313111546,228,1533
BGENL025-23,83,357975,0.0,17.0,5.0724070450097845,10,1533
BGENL026-23,6302,54550141,130.0,447.0,309.3522504892368,573,1533
BGENL027-23,125,375654,0.0,22.0,7.307240704500979,10,1533
BGENL028-23,2228,11478429,41.0,192.0,110.1174168297456,60,1533
BGENL029-23,1751,2442272,42.0,185.0,101.79452054794521,31,1533
BGENL030-23,4915,10431636,125.0,530.0,264.8590998043053,132,1533
BGENL031-23,1811,12560954,36.0,195.0,94.60665362035225,427,1533
BGENL032-23,249,3160201,0.0,27.0,13.557729941291585,41,1533
BGENL033-23,2109,26175122,30.0,233.0,105.37769080234834,682,1533
BGENL034-23,10075,4721755,30.0,1343.0,488.87279843444225,210,1533
BGENL035-23,322,4770637,0.0,44.0,14.097847358121331,87,1533
BGENL036-23,1881,5849675,9.0,135.0,82.39921722113503,64,1533
BGENL037-23,4618,16799994,10.0,391.0,192.33659491193737,189,1533
BGENL038-23,4004,8591228,14.0,324.0,167.45988258317024,70,1533
BGENL039-23,5865,11065117,1.0,447.0,261.20156555772996,192,1533
BGENL040-23,6141,16319778,2.0,484.0,310.05479452054794,270,1533
BGENL041-23,3131,5482984,6.0,324.0,126.31702544031312,65,1533
BGENL042-23,1703,8106367,6.0,148.0,88.55577299412916,112,1533
BGENL043-23,7706,14157713,0.0,573.0,344.2583170254403,155,1533
BGENL044-23,5977,11215534,2.0,468.0,316.93933463796475,152,1533
BGENL045-23,2311,9703502,0.0,195.0,109.95107632093934,103,1533
BGENL046-23,60169,3230119,9.0,4848.0,2985.1350293542073,497,1533
BGENL047-23,1852,11630975,2.0,138.0,72.36594911937378,129,1533
BGENL048-23,8271,68558252,14.0,939.0,347.5225048923679,764,1533
BGENL049-23,2925,8901239,40.0,229.0,129.14872798434442,40,1533
BGENL050-23,524,2979600,4.0,56.0,24.50293542074364,50,1533
BGENL051-23,1717,1746399,16.0,169.0,75.74168297455968,25,1533
BGENL052-23,2060,10127233,53.0,186.0,127.09393346379647,326,1533
BGENL053-23,3314,9440835,100.0,324.0,200.29158512720156,333,1533
BGENL054-23,275,1290402,0.0,35.0,14.827788649706457,140,1533
BGENL055-23,1347,3059816,14.0,127.0,68.66144814090019,26,1533
BGENL056-23,1717,1467968,51.0,150.0,93.27397260273973,41,1533
BGENL057-23,2525,1298450,46.0,184.0,115.2426614481409,75,1533
BGENL058-23,158,938567,0.0,29.0,8.714563106796117,16,1545
BGENL059-23,56,397524,0.0,16.0,2.615533980582524,18,1545
BGENL060-23,50,267291,0.0,10.0,2.545631067961165,22,1545
BGENL061-23,318,1902434,0.0,38.0,12.38747553816047,23,1533
BGENL062-23,163,3855892,0.0,21.0,7.604696673189824,38,1533
BGENL063-23,1244,2945656,14.0,105.0,54.62622309197652,27,1533
BGENL064-23,1178,3382410,13.0,116.0,51.55577299412916,30,1533
BGENL065-23,1328,7495382,37.0,131.0,73.31702544031312,172,1533
BGENL066-23,875,1729912,10.0,69.0,40.11937377690802,14,1533
BGENL067-23,298,10690750,0.0,96.0,13.800391389432486,300,1533
BGENL068-23,5447,22260568,177.0,469.0,310.41487279843443,342,1533
BGENL069-23,1061,7927915,14.0,118.0,47.839530332681015,77,1533
BGENL070-23,196,258744,1.0,25.0,10.547945205479452,12,1533
BGENL071-23,214,592616,0.0,33.0,10.266144814090019,27,1533
BGENL072-23,617,6379191,8.0,62.0,29.7573385518591,58,1533
BGENL073-23,447,3739978,4.0,50.0,19.434442270058707,62,1533
BGENL074-23,825,4894935,3.0,131.0,35.5440313111546,29,1533
BGENL075-23,2491,3860058,45.0,209.0,119.61252446183953,56,1533
BGENL076-23,419,3746929,2.0,43.0,20.02348336594912,47,1533
BGENL077-23,1699,2570525,18.0,149.0,73.28962818003914,32,1533
BGENL078-23,118,315947,0.0,15.0,4.97651663405088,5,1533
BGENL079-23,1416,2436803,35.0,151.0,86.49119373776908,160,1533
BGENL080-23,1510,9917896,31.0,128.0,76.34442270058709,75,1533
BGENL081-23,732,11227630,2.0,81.0,36.40117416829746,139,1533
BGENL082-23,202,942498,0.0,24.0,9.882583170254403,15,1533
BGENL083-23,493,4010214,4.0,54.0,21.534246575342465,49,1533
BGENL084-23,115,1307802,0.0,18.0,5.405088062622309,51,1533
BGENL085-23,107,711424,0.0,18.0,5.5689320388349515,28,1545
BGENL086-23,322,2691172,0.0,50.0,16.74368932038835,19,1545
BGENL087-23,117,909278,0.0,20.0,4.72621359223301,28,1545
BGENL088-23,183,3148855,0.0,52.0,8.833659491193737,50,1533
BGENL089-23,312,2015478,0.0,37.0,13.099804305283758,9,1533
BGENL090-23,1408,3499252,17.0,132.0,64.94911937377691,157,1533
BGENL091-23,296,1446226,0.0,30.0,13.776699029126213,61,1545
BGENL092-23,106,383675,0.0,14.0,5.231067961165048,15,1545
BGENL093-23,364,1597011,0.0,45.0,14.848543689320389,24,1545
BGENL094-23,2311,19370245,1.0,162.0,91.47572815533981,44,1545
BGENL095-23,2676,32374661,0.0,204.0,120.40776699029126,132,1545
BGENL096-23,10511,45670188,393.0,977.0,613.5009784735812,344,1533
BGENL097-23,4879,41491185,122.0,472.0,266.1898238747554,186,1533
BGENL098-23,2455,23211015,81.0,216.0,134.33268101761252,394,1533
BGENL099-23,6535,12180156,214.0,493.0,340.81996086105676,137,1533
BGENL100-23,193,459923,0.0,28.0,12.246575342465754,14,1533
BGENL101-23,17375,65629234,571.0,1325.0,910.0078277886497,305,1533
