ambig_basecount	ambig_full_basecount	cov_avg	cov_max	cov_min	dataset	error	genes	identification	identification_method	identification_rank	length	n_aligned	n_reads	nuc_basecount	nuc_full_basecount	obs_taxon	output_dir	protein_reference_file	r	run_name	s	samples_file	sequence_id	skipped_reads_low_rel_score	species	stop_codons
0	0	236.426614481409	697.0	0.0	data/mge_standard_r15s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	3479	23494514	498	1206	Staphylinidae,Syrphidae,Hippoboscidae,Boreidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-standard_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1.5]	mge_standard_r15s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL001-23_r_1.5_s_100	4074	Astomella hispaniae	0
0	5	9.313111545988258	22.0	0.0	data/mge_standard_r15s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	162	672618	609	1383	Ephydridae,Anthomyiidae,Scathophagidae,Calliphoridae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-standard_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1.5]	mge_standard_r15s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL002-23_r_1.5_s_100	66	Astomella hispaniae	0
0	0	186.8825831702544	643.0	0.0	data/mge_standard_r15s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	2819	30824217	558	1311	Syrphidae,Hippoboscidae,Leptopsyllidae,Noctuidae,Nymphalidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-standard_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1.5]	mge_standard_r15s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL003-23_r_1.5_s_100	2742	Astomella hispaniae	0
0	0	1375.9236790606653	3473.0	0.0	data/mge_standard_r15s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	19887	3763272	620	1362	Syrphidae,Drosophilidae,Ephydridae,Muscidae,Oestridae,Panorpidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-standard_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1.5]	mge_standard_r15s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL004-23_r_1.5_s_100	15235	Cyrtus gibbus	0
1	25	1.9412915851272015	10.0	0.0	data/mge_standard_r15s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	29	228144	147	624	Halictidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-standard_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1.5]	mge_standard_r15s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL005-23_r_1.5_s_100	18	Cyrtus gibbus	0
0	0	547.0626223091976	1627.0	0.0	data/mge_standard_r15s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	9037	8854925	632	1383	Asilidae,Dolichopodidae,Syrphidae,Chloropidae,Ephydridae,Tephritidae,Anthomyiidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-standard_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1.5]	mge_standard_r15s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL006-23_r_1.5_s_100	5445	Cyrtus gibbus	0
0	0	777.6594911937377	1788.0	0.0	data/mge_standard_r15s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	11120	15398419	633	1353	Chloropidae,Drosophilidae,Muscidae,Anthomyiidae,Tachinidae,Xylophagaidae,Nymphalidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-standard_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1.5]	mge_standard_r15s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL007-23_r_1.5_s_100	6921	Ogcodes zonatus	0
0	0	165.82191780821918	411.0	0.0	data/mge_standard_r15s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	2472	8073163	630	1422	Chloropidae,Drosophilidae,Muscidae,Anthomyiidae,Geometridae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-standard_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1.5]	mge_standard_r15s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL008-23_r_1.5_s_100	1504	Ogcodes zonatus	0
24	41	1.5694716242661448	8.0	0.0	data/mge_standard_r15s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	26	313984	278	765	Fergusoninidae,Tephritidae,Tenthredinidae,Noctuidae,Geometridae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-standard_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1.5]	mge_standard_r15s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL009-23_r_1.5_s_100	19	Ogcodes zonatus	0
1	7	37.29354207436399	106.0	0.0	data/mge_standard_r15s100_nocontam.fasta	None	['cox1']	Acroceridae	BLAST	family	1533	677	1723753	657	1482	Acroceridae,Drosophilidae,Agromyzidae	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/cox1/benchmarking/MGE-standard_pipeline_alt_params	/gpfs/nhmfsa/bulk/share/data/mbl/share/scratch/MGE/protein_references/benchmarking_data_570_refs-contam_refs_final14/benchmarking_data_570_taxonomy_gene_fetch_sum_out.csv	[1.5]	mge_standard_r15s100_nocontam	[100]	/gpfs/nhmfsa/bulk/share/data/mbl/share/workspaces/groups/genomics-collections/BGE/2024-02-01/DataDelivery_2024-02-01_18-24-39_snpseq00629/files/WK-3860/read_paths.csv	BGENL010-23_r_1.5_s_100	212	Acrocera orbiculus	0
