ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	is_valid	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	timestamp
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Geophilidae	BLAST	family	True	655	657	Scolopendridae,Geophilidae,Schendylidae,Chilenophilidae	25281	Geophilus carpophagus	0	2025-01-25 17:05:00
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Halymeniaceae	BLAST	family	False	656	658		50206	Grateloupia turuturu	0	2025-01-25 17:05:54
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Linyphiidae	BLAST	family	False	656	658	Ixodidae,Halolaelapidae	507	Oedothorax fuscus	0	2025-01-25 17:06:48
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Ulvaceae	BLAST	family	False	661	664		25443	Blidingia marginata	0	2025-01-25 17:07:37
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Ephydridae	BLAST	family	True	657	658	Ephydridae	46650	Paracoenia fumosa	0	2025-01-25 17:08:48
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Dolichopodidae	BLAST	family	True	657	658	Dolichopodidae	46669	Hercostomus nigriplantis	0	2025-01-25 17:10:01
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Noctuidae	BLAST	family	True	657	658	Noctuidae	25512	Conistra erythrocephala	0	2025-01-25 17:11:18
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Carabidae	BLAST	family	True	657	658	Carabidae	50294	Parophonus maculicornis	0	2025-01-25 17:12:29
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Truncatellinidae	BLAST	family	False	653	655	Ariophantidae,Helicarionidae,Milacidae	25544	Truncatellina cylindrica	0	2025-01-25 17:13:36
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Hahniidae	BLAST	family	True	657	658	Hahniidae	36117	Antistea elegans	0	2025-01-25 17:14:31
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Sphaeriidae	BLAST	family	False	622	652		25572	Euglesa casertana	0	2025-01-25 17:15:30
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Halichondriidae	BLAST	family	False	662	664	Cladorhizidae,Tethyidae	46688	Halichondria panicea	0	2025-01-25 17:16:29
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Linyphiidae	BLAST	family	True	657	658	Linyphiidae	36163	Porrhomma pygmaeum	0	2025-01-25 17:17:24
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Raphidiidae	BLAST	family	True	656	658	Raphidiidae,Inocelliidae	46701	Xanthostigma xanthostigma	0	2025-01-25 17:18:42
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Carabidae	BLAST	family	True	656	658	Carabidae	25637	Harpalus xanthopus	0	2025-01-25 17:19:52
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Dolichopodidae	BLAST	family	True	657	658	Dolichopodidae	25639	Achalcus	0	2025-01-25 17:21:04
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Tephritidae	BLAST	family	True	657	658	Chloropidae,Sphaeroceridae,Tephritidae,Muscidae,Tachinidae	2540	Tephritidae	0	2025-01-25 17:22:18
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Coccinellidae	BLAST	family	True	657	658	Coccinellidae	36774	Adalia bipunctata	0	2025-01-25 17:23:31
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Lycosidae	BLAST	family	False	648	652		3168	Arctosa leopardus	8	2025-01-25 17:24:33
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Pterocladiaceae	BLAST	family	False	661	664	Gelidiaceae	26105	Pterocladiella capillacea	0	2025-01-25 17:25:24
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Lauxaniidae	BLAST	family	True	656	658	Drosophilidae,Lauxaniidae,Sphaeroceridae,Pallopteridae	46879	Meiosimyza decipiens	0	2025-01-25 17:26:38
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Dolichopodidae	BLAST	family	True	655	658	Dolichopodidae	46885	Argyra perplexa	0	2025-01-25 17:27:59
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Elateridae	BLAST	family	True	655	658	Elateridae,Cantharidae	3540	Elateridae	0	2025-01-25 17:29:15
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Champiaceae	BLAST	family	True	661	664	Champiaceae	26323	Chylocladia verticillata	0	2025-01-25 17:30:09
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Geometridae	BLAST	family	True	656	658	Geometridae	26337	Earophila badiata	0	2025-01-25 17:31:20
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Varunidae	BLAST	family	True	645	646	Sesarmidae,Varunidae	26350	Hemigrapsus sanguineus	0	2025-01-25 17:32:18
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Orthoptera	BLAST	order	True	656	658	Orthoptera,Diptera	3679	Orthoptera	0	2025-01-25 17:33:32
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Varunidae	BLAST	family	True	657	658	Varunidae	26399	Hemigrapsus sanguineus	0	2025-01-25 17:34:29
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Hymenoptera	BLAST	order	False	657	658	Diptera	50581	Hymenoptera	0	2025-01-25 17:35:45
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Chrysomelidae	BLAST	family	True	657	658	Chrysomelidae	46972	Psylliodes affinis	0	2025-01-25 17:36:52
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Geomitridae	BLAST	family	False	660	674	Glaucidae,Helicidae,Camaenidae	47036	Xeroplexa intersecta	0	2025-01-25 17:38:03
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Champiaceae	BLAST	family	False	672	676		26782	Chylocladia verticillata	0	2025-01-25 17:38:53
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Araneidae	BLAST	family	True	657	658	Araneidae	4912	Zilla diodia	0	2025-01-25 17:39:48
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Elateridae	BLAST	family	True	656	658	Elateridae	26896	Cidnopus aeruginosus	0	2025-01-25 17:41:12
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Gelidiaceae	BLAST	family	True	663	664	Gelidiaceae	26942	Gelidium pusillum	0	2025-01-25 17:42:03
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Cladophoraceae	BLAST	family	False	663	664		26943	Rhizoclonium riparium	0	2025-01-25 17:42:54
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Sphaeriidae	BLAST	family	False	662	664	Mytilidae	26960	Euglesa milium	0	2025-01-25 17:43:55
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Halichondriidae	BLAST	family	True	656	658	Halichondriidae	47088	Halichondria panicea	0	2025-01-25 17:44:51
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Varunidae	BLAST	family	False	642	644	Varunidae,Ocypodidae	27029	Hemigrapsus sanguineus	6	2025-01-25 17:45:53
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Titanoecidae	BLAST	family	False	657	658	Philodromidae	27088	Titanoeca quadriguttata	0	2025-01-25 17:46:49
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Halymeniaceae	BLAST	family	False	662	664	Gracilariaceae	47119	Grateloupia turuturu	0	2025-01-25 17:47:41
